id,code,name,amount,State
,561210,Facilities Support Services,906301596.12,AK
,236220,Commercial and Institutional Building Construction,462319786.35,AK
,541330,Engineering Services,209197686.01,AK
,561612,Security Guards and Patrol Services,197827200.93,AK
,562910,Remediation Services,178811542.16,AK
,324110,Petroleum Refineries,141687216.67,AK
,488190,Other Support Activities for Air Transportation,129136288.16,AK
,541519,Other Computer Related Services,115701874.11,AK
,221112,Fossil Fuel Electric Power Generation,105065559.57,AK
,236210,Industrial Building Construction,103282504.98,AK
,541611,Administrative Management and General Management Consulting Services,85697922.25,AK
,611519,Other Technical and Trade Schools,79306073.94,AK
,561621,Security Systems Services (except Locksmiths),71798157.16,AK
,561720,Janitorial Services,66502732.9,AK
,237310,"Highway, Street, and Bridge Construction",59051218.66,AK
,541511,Custom Computer Programming Services,51660134.13,AK
,237990,Other Heavy and Civil Engineering Construction,48306503.46,AK
,541990,"All Other Professional, Scientific, and Technical Services",44012568.7,AK
,541513,Computer Facilities Management Services,40664756.44,AK
,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",35675869.93,AK
,423520,Coal and Other Mineral and Ore Merchant Wholesalers,35556780.11,AK
,561320,Temporary Help Services,34976898.14,AK
,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",34939031.04,AK
,541614,"Process, Physical Distribution, and Logistics Consulting Services",32878029.66,AK
,337127,Institutional Furniture Manufacturing,32802043.2,AK
,541512,Computer Systems Design Services,31596005.38,AK
,561990,All Other Support Services,30501999.23,AK
,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",27453274.27,AK
,493110,General Warehousing and Storage,25366364.99,AK
,541690,Other Scientific and Technical Consulting Services,24469115.92,AK
,238220,"Plumbing, Heating, and Air-Conditioning Contractors",23835031.59,AK
,238910,Site Preparation Contractors,23303705.91,AK
,561110,Office Administrative Services,21778755.91,AK
,518210,"Data Processing, Hosting, and Related Services",17900159.54,AK
,237130,Power and Communication Line and Related Structures Construction,16727813.99,AK
,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",16162778.67,AK
,517110,Wired Telecommunications Carriers,15582707.6,AK
,336611,Ship Building and Repairing,15493093.69,AK
,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,14838184.71,AK
,238990,All Other Specialty Trade Contractors,13766332.83,AK
,221210,Natural Gas Distribution,13451551.3,AK
,541620,Environmental Consulting Services,13124456.0,AK
,237120,Oil and Gas Pipeline and Related Structures Construction,12356992.57,AK
