code,name,amount
336411.0,Aircraft Manufacturing,655355154255.78
541330.0,Engineering Services,539960874879.98
561210.0,Facilities Support Services,436690311364.73
236220.0,Commercial and Institutional Building Construction,337879098797.05
541712.0,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",300085950867.47
336611.0,Ship Building and Repairing,282461831782.01
541512.0,Computer Systems Design Services,264447152801.76
336414.0,Guided Missile and Space Vehicle Manufacturing,229713821657.18
541519.0,Other Computer Related Services,224662724497.92
541710.0,"Research and Development in the Physical, Engineering, and Life Sciences",223343563741.34
524114.0,Direct Health and Medical Insurance Carriers,221775217368.45
336413.0,Other Aircraft Parts and Auxiliary Equipment Manufacturing,199075482653.84
541611.0,Administrative Management and General Management Consulting Services,181675151331.51
334511.0,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",178012663406.93
325412.0,Pharmaceutical Preparation Manufacturing,151726972706.97
541990.0,"All Other Professional, Scientific, and Technical Services",150909631123.59
324110.0,Petroleum Refineries,149184095772.79
541715.0,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",124442133227.73
336992.0,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",106475455098.84
336412.0,Aircraft Engine and Engine Parts Manufacturing,105694177665.32
541511.0,Custom Computer Programming Services,94849645863.92
237990.0,Other Heavy and Civil Engineering Construction,89996159890.72
488190.0,Other Support Activities for Air Transportation,84653635847.71
562910.0,Remediation Services,72270461459.49
561612.0,Security Guards and Patrol Services,67604804659.97
334220.0,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,66447664825.37
517110.0,Wired Telecommunications Carriers,61958769972.44
424210.0,Drugs and Druggists' Sundries Merchant Wholesalers,50766442346.74
334111.0,Electronic Computer Manufacturing,50673028941.3
621111.0,Offices of Physicians (except Mental Health Specialists),49980495052.07
481212.0,Nonscheduled Chartered Freight Air Transportation,48068499725.27
332993.0,Ammunition (except Small Arms) Manufacturing,47937294287.52
541513.0,Computer Facilities Management Services,47071449251.71
325414.0,Biological Product (except Diagnostic) Manufacturing,45311985864.88
237310.0,"Highway, Street, and Bridge Construction",41786898211.2
331491.0,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",41266934672.74
325411.0,Medicinal and Botanical Manufacturing,38883831701.21
511210.0,Software Publishers,38116415307.29
334290.0,Other Communications Equipment Manufacturing,35905775284.53
483111.0,Deep Sea Freight Transportation,34239204971.11
481211.0,Nonscheduled Chartered Passenger Air Transportation,33034286590.08
336419.0,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,32602668481.73
541690.0,Other Scientific and Technical Consulting Services,30975761504.77
562211.0,Hazardous Waste Treatment and Disposal,30083398667.31
423450.0,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",29104158767.34
