id,code,name,amount,State
,336411,Aircraft Manufacturing,43810298718.94,AK
,541330,Engineering Services,30688471183.37,AK
,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",30021904918.24,AK
,561210,Facilities Support Services,28159806741.4,AK
,336611,Ship Building and Repairing,18006263836.36,AK
,541512,Computer Systems Design Services,17682223946.2,AK
,236220,Commercial and Institutional Building Construction,16920942232.28,AK
,524114,Direct Health and Medical Insurance Carriers,14447047002.76,AK
,541519,Other Computer Related Services,13434563050.89,AK
,336414,Guided Missile and Space Vehicle Manufacturing,13305580230.19,AK
,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,13074167878.82,AK
,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",11780722741.51,AK
,541611,Administrative Management and General Management Consulting Services,11246064653.54,AK
,325412,Pharmaceutical Preparation Manufacturing,10340001876.0,AK
,541710,"Research and Development in the Physical, Engineering, and Life Sciences",9700959158.89,AK
,541990,"All Other Professional, Scientific, and Technical Services",8470227494.47,AK
,488190,Other Support Activities for Air Transportation,6860887956.01,AK
,336412,Aircraft Engine and Engine Parts Manufacturing,6405989449.91,AK
,324110,Petroleum Refineries,5984606669.54,AK
,541511,Custom Computer Programming Services,5341587019.38,AK
,562910,Remediation Services,4773719523.47,AK
,237990,Other Heavy and Civil Engineering Construction,4341290082.07,AK
,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",4099949770.82,AK
,561612,Security Guards and Patrol Services,3929982161.79,AK
,481212,Nonscheduled Chartered Freight Air Transportation,3902982497.23,AK
,621111,Offices of Physicians (except Mental Health Specialists),3811378027.26,AK
,332993,Ammunition (except Small Arms) Manufacturing,3652022841.29,AK
,325411,Medicinal and Botanical Manufacturing,3554310765.99,AK
,517110,Wired Telecommunications Carriers,3547065130.78,AK
,511210,Software Publishers,3261371803.74,AK
,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,2922040573.2,AK
,541513,Computer Facilities Management Services,2690796894.09,AK
,334290,Other Communications Equipment Manufacturing,2520494033.91,AK
,334111,Electronic Computer Manufacturing,2517257943.42,AK
,332410,Power Boiler and Heat Exchanger Manufacturing,2265953903.18,AK
,518210,"Data Processing, Hosting, and Related Services",2242047225.69,AK
,562211,Hazardous Waste Treatment and Disposal,2211441535.15,AK
,541690,Other Scientific and Technical Consulting Services,2076943194.44,AK
,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",2069602998.51,AK
,541711,Research and Development in Biotechnology,1904332313.91,AK
,237310,"Highway, Street, and Bridge Construction",1892677775.82,AK
,561990,All Other Support Services,1850971131.49,AK
,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,1675595236.09,AK
,541614,"Process, Physical Distribution, and Logistics Consulting Services",1646881962.89,AK
,561720,Janitorial Services,1585589310.56,AK
,424210,Drugs and Druggists' Sundries Merchant Wholesalers,1583876461.33,AK
,483111,Deep Sea Freight Transportation,1549825518.13,AK
,339112,Surgical and Medical Instrument Manufacturing,1543718480.62,AK
,339113,Surgical Appliance and Supplies Manufacturing,1522536399.03,AK
,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",1490507949.22,AK
,334210,Telephone Apparatus Manufacturing,1303292141.42,AK
,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,1223981988.92,AK
,622110,General Medical and Surgical Hospitals,1215660793.7,AK
,336111,Automobile Manufacturing,1183835092.88,AK
,481211,Nonscheduled Chartered Passenger Air Transportation,1169864014.78,AK
,334419,Other Electronic Component Manufacturing,1169436727.84,AK
,443120,Computer and Software Stores,1147807749.8,AK
,811219,Other Electronic and Precision Equipment Repair and Maintenance,1147308171.66,AK
,541720,Research and Development in the Social Sciences and Humanities,1126288505.58,AK
,611519,Other Technical and Trade Schools,1120321641.02,AK
,541310,Architectural Services,1072445899.57,AK
,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",1070758300.74,AK
,541620,Environmental Consulting Services,1050380581.42,AK
,722310,Food Service Contractors,1028347560.28,AK
,236210,Industrial Building Construction,1006296965.73,AK
,522390,Other Activities Related to Credit Intermediation,947232084.12,AK
,561110,Office Administrative Services,928809867.63,AK
,,,907857423.78,AK
,336212,Truck Trailer Manufacturing,885924785.93,AK
,238220,"Plumbing, Heating, and Air-Conditioning Contractors",856140733.78,AK
,238210,Electrical Contractors and Other Wiring Installation Contractors,855891152.67,AK
,517919,All Other Telecommunications,850169474.54,AK
,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,848615225.22,AK
,311812,Commercial Bakeries,837071081.84,AK
,611430,Professional and Management Development Training,833351881.77,AK
,561320,Temporary Help Services,825453698.53,AK
,517410,Satellite Telecommunications,815122599.31,AK
,611512,Flight Training,812957588.38,AK
,334516,Analytical Laboratory Instrument Manufacturing,808026793.15,AK
,333314,Optical Instrument and Lens Manufacturing,803936945.63,AK
,221122,Electric Power Distribution,792509929.82,AK
,311999,All Other Miscellaneous Food Manufacturing,767127464.86,AK
,611310,"Colleges, Universities, and Professional Schools",762718370.51,AK
,561422,Telemarketing Bureaus and Other Contact Centers,726031879.66,AK
,541219,Other Accounting Services,721625828.15,AK
,541810,Advertising Agencies,721358225.04,AK
,311421,Fruit and Vegetable Canning,717449934.75,AK
,424410,General Line Grocery Merchant Wholesalers,715410031.26,AK
,541211,Offices of Certified Public Accountants,714468571.08,AK
,493120,Refrigerated Warehousing and Storage,697443576.88,AK
,238990,All Other Specialty Trade Contractors,691904843.32,AK
,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,656018313.09,AK
,561621,Security Systems Services (except Locksmiths),637748928.84,AK
,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",621729474.54,AK
,541618,Other Management Consulting Services,610610844.69,AK
,333319,Other Commercial and Service Industry Machinery Manufacturing,605544390.59,AK
,325414,Biological Product (except Diagnostic) Manufacturing,601301946.15,AK
,561499,All Other Business Support Services,580922725.08,AK
,811213,Communication Equipment Repair and Maintenance,553969225.47,AK
,334519,Other Measuring and Controlling Device Manufacturing,552603571.13,AK
,541612,Human Resources Consulting Services,543101889.71,AK
,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,530109685.4,AK
,623110,Nursing Care Facilities (Skilled Nursing Facilities),523854531.15,AK
,541930,Translation and Interpretation Services,516065744.43,AK
,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,512800719.12,AK
,333120,Construction Machinery Manufacturing,509048241.08,AK
,561611,Investigation Services,508718800.57,AK
,337214,Office Furniture (except Wood) Manufacturing,498029315.52,AK
,332992,Small Arms Ammunition Manufacturing,497844804.93,AK
,339999,All Other Miscellaneous Manufacturing,497224890.94,AK
,611710,Educational Support Services,497140249.73,AK
,927110,Space Research and Technology,492935034.1,AK
,237110,Water and Sewer Line and Related Structures Construction,486671959.32,AK
,331410,Nonferrous Metal (except Aluminum) Smelting and Refining,471457276.81,AK
,315990,Apparel Accessories and Other Apparel Manufacturing,464888980.19,AK
,334517,Irradiation Apparatus Manufacturing,463145868.84,AK
,621492,Kidney Dialysis Centers,454137144.09,AK
,561440,Collection Agencies,453707890.49,AK
,541199,All Other Legal Services,450140411.06,AK
,333318,Other Commercial and Service Industry Machinery Manufacturing,447548867.8,AK
,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",446821057.0,AK
,811111,General Automotive Repair,436920292.57,AK
,561730,Landscaping Services,436680491.06,AK
,523999,Miscellaneous Financial Investment Activities,433871733.09,AK
,332510,Hardware Manufacturing,426914579.14,AK
,519190,All Other Information Services,423615372.42,AK
,623990,Other Residential Care Facilities,417915057.14,AK
,311611,Animal (except Poultry) Slaughtering,408738066.03,AK
,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,404657085.2,AK
,541380,Testing Laboratories,397428275.87,AK
,624230,Emergency and Other Relief Services,391405588.96,AK
,325920,Explosives Manufacturing,381436402.77,AK
,237130,Power and Communication Line and Related Structures Construction,376240017.72,AK
,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,372092432.14,AK
,238160,Roofing Contractors,366815154.69,AK
,237120,Oil and Gas Pipeline and Related Structures Construction,364906433.16,AK
,517310,Telecommunications Resellers,364498815.56,AK
,315210,Cut and Sew Apparel Contractors,363940292.48,AK
,541370,Surveying and Mapping (except Geophysical) Services,363746221.1,AK
,517210,Wireless Telecommunications Carriers (except Satellite),349166857.71,AK
,311615,Poultry Processing,347018364.47,AK
,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,337514953.39,AK
,611699,All Other Miscellaneous Schools and Instruction,337343847.63,AK
,221112,Fossil Fuel Electric Power Generation,331256779.68,AK
,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",326197687.41,AK
