Description,United States Total,,,Alabama,,,Alaska,,,Arizona,,,Arkansas,,,California,,,Colorado,,,Connecticut,,,Delaware,,,District of Columbia,,,Florida,,,Georgia,,,Hawaii,,,Idaho,,,Illinois,,,Indiana,,,Iowa,,,Kansas,,,Kentucky,,,Louisiana,,,Maine,,,Maryland,,,Massachusetts,,,Michigan,,,Minnesota,,,Mississippi,,,Missouri,,,Montana,,,Nebraska,,,Nevada,,,New Hampshire,,,New Jersey,,,New Mexico,,,New York,,,North Carolina,,,North Dakota,,,Ohio,,,Oklahoma,,,Oregon,,,Pennsylvania,,,Rhode Island,,,South Carolina,,,South Dakota,,,Tennessee,,,Texas,,,Utah,,,Vermont,,,Virginia,,,Washington,,,West Virginia,,,Wisconsin,,,Wyoming,,
,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local
,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government
,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2.00,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Description,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78
            Revenue1,"3,930,748,335","2,538,439,934","1,945,232,008","49,971,701","33,262,999","22,891,732","14,321,897","10,591,129","5,494,889","66,789,025","44,657,448","30,646,863","31,474,908","25,915,365","10,613,027","619,470,746","393,689,195","338,710,415","61,732,970","34,786,777","33,994,636","49,738,823","34,657,390","20,237,420","11,730,824","9,419,503","3,886,561","15,287,418",0,"15,510,615","192,534,238","107,389,521","106,582,545","91,491,547","56,464,353","47,006,931","20,396,275","16,403,525","4,521,622","15,551,003","11,622,296","6,298,672","148,609,421","87,350,013","81,008,293","63,752,239","43,081,752","31,893,119","41,250,847","29,058,494","17,848,528","32,132,379","21,307,973","15,911,628","45,199,453","34,382,910","15,505,490","52,358,103","36,290,679","22,159,904","14,588,082","10,809,831","5,202,205","72,888,812","47,663,616","33,612,805","95,481,418","66,961,221","38,170,446","109,458,567","78,701,943","50,010,399","73,712,967","53,406,557","32,467,317","32,777,204","24,310,239","13,061,780","61,273,323","39,657,980","28,317,915","11,562,538","8,830,226","4,073,869","24,478,844","12,173,781","14,816,433","31,392,544","21,721,614","15,719,129","14,092,924","9,400,948","6,527,720","116,147,229","78,261,258","50,405,974","25,717,517","20,695,483","9,091,969","380,000,972","214,235,030","224,080,584","103,349,844","68,049,948","49,957,348","10,626,739","7,772,002","4,941,449","139,071,079","97,749,659","58,725,871","37,172,680","26,669,732","14,443,212","58,064,125","42,869,735","21,982,932","149,777,715","102,008,693","70,984,759","13,334,939","9,598,953","5,057,394","52,307,934","34,303,179","24,263,880","9,090,413","6,019,838","3,950,643","72,164,257","45,115,460","34,552,420","274,917,850","162,221,627","147,654,031","31,869,938","21,590,176","13,766,556","8,164,131","6,881,232","3,049,267","89,000,527","58,671,698","43,201,929","100,406,872","63,125,622","51,440,720","19,594,161","15,798,694","5,588,506","64,102,944","45,888,358","30,062,747","10,365,429","6,944,279","5,326,909"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General revenue1,"3,119,990,460","1,974,049,915","1,698,864,152","40,058,771","26,785,617","19,456,184","11,657,369","8,364,456","5,057,034","52,266,144","35,725,130","25,056,300","25,766,111","21,273,518","9,546,077","457,176,790","289,465,112","280,640,542","51,624,258","28,199,889","30,472,812","41,258,428","28,257,541","18,156,874","9,943,168","8,208,509","3,309,899","13,291,351",0,"13,514,548","156,442,283","84,793,586","93,086,525","73,244,986","44,091,430","41,133,293","17,298,474","13,736,901","4,090,445","12,231,193","8,539,841","6,061,317","119,079,914","68,369,287","70,459,512","56,476,165","38,747,759","28,951,038","34,384,164","23,393,449","16,646,890","26,730,931","17,677,858","14,140,295","37,463,034","28,586,587","13,565,394","42,192,875","27,554,350","20,731,005","12,211,080","8,579,602","5,055,432","62,751,134","41,093,915","30,044,828","77,464,543","54,733,887","32,380,905","89,359,290","64,476,279","44,136,786","58,864,533","41,403,616","29,621,824","26,649,002","19,000,703","12,243,114","47,603,617","29,579,711","24,726,478","9,249,339","6,677,139","3,913,757","17,651,207","10,025,526","10,137,051","23,688,510","15,269,288","14,467,421","11,614,630","7,081,110","6,369,264","99,662,672","62,976,736","49,205,939","20,779,552","16,382,246","8,467,241","296,875,069","162,710,750","192,478,961","84,835,965","54,835,133","44,658,284","9,027,474","6,468,323","4,645,863","106,589,350","68,674,254","55,319,547","29,853,562","20,934,190","12,859,636","43,566,396","30,150,393","20,204,545","125,479,795","83,908,723","64,786,809","11,236,923","7,943,422","4,614,909","42,285,308","26,469,984","22,074,449","6,931,668","4,274,403","3,537,333","46,283,535","29,532,782","24,254,376","220,930,758","126,582,860","129,305,706","26,196,681","17,965,789","11,717,686","7,065,308","6,075,793","2,755,883","73,689,253","47,236,095","39,326,258","76,957,046","47,199,454","43,917,062","16,365,838","12,919,603","5,239,274","50,956,465","35,564,538","27,240,088","8,728,548","5,552,848","5,081,459"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intergovernmental revenue1,"710,814,365","659,240,682","604,497,290","10,983,624","9,954,818","7,211,836","3,520,283","3,286,785","1,997,619","16,010,428","15,307,319","9,218,395","8,148,996","7,902,598","5,299,882","101,132,784","93,252,129","120,809,519","9,863,632","8,806,629","8,105,446","8,096,420","7,643,233","5,609,174","2,441,182","2,415,553","1,600,869","3,977,542",0,"4,200,739","30,018,541","26,518,780","24,937,589","16,358,138","15,180,869","13,157,006","3,098,783","3,005,395","622,260","2,775,258","2,642,174","2,503,049","23,193,311","19,987,343","22,954,853","15,148,173","14,713,219","11,657,586","6,145,860","5,721,959","6,080,076","4,408,829","4,160,844","5,335,207","12,177,070","11,683,636","5,182,381","13,045,509","12,636,884","6,501,105","3,069,529","3,020,597","1,472,886","14,041,279","12,915,509","9,513,379","17,249,437","16,370,478","10,529,208","22,829,016","21,350,680","20,732,111","11,798,289","10,954,631","13,004,565","8,555,928","8,232,739","4,918,004","11,974,847","11,349,148","7,328,271","3,277,190","3,054,845","1,563,902","3,456,843","3,179,745","2,788,468","5,451,777","5,234,577","6,265,399","2,434,028","2,720,286","1,549,486","18,087,468","17,930,294","12,677,177","7,408,476","7,225,565","4,252,846","66,871,350","60,888,264","64,297,728","20,550,842","18,492,091","16,716,203","1,928,587","1,736,646","2,278,653","26,005,867","24,239,315","19,171,003","7,651,013","7,298,139","4,293,138","10,738,770","9,949,479","7,577,833","32,142,097","29,266,286","26,091,548","2,908,759","2,823,379","1,406,788","9,898,618","9,826,544","6,331,199","1,666,350","1,537,047","1,009,371","12,002,463","11,410,121","8,095,965","45,875,556","44,680,120","36,153,244","5,027,563","4,534,522","3,979,835","2,043,794","1,976,513","1,833,649","11,760,742","10,701,268","13,932,574","15,690,055","14,237,160","15,612,365","5,212,558","5,109,431","1,896,166","9,939,148","9,583,041","12,204,268","2,721,763","2,592,055","2,035,467"
