id,code,name,amount,State
,336411,Aircraft Manufacturing,62140977066.56,AK
,541330,Engineering Services,37803951011.12,AK
,541512,Computer Systems Design Services,24634496314.46,AK
,336611,Ship Building and Repairing,23138395636.19,AK
,236220,Commercial and Institutional Building Construction,21950590972.0,AK
,561210,Facilities Support Services,21642522509.17,AK
,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",20236396552.53,AK
,541519,Other Computer Related Services,17623170858.92,AK
,336414,Guided Missile and Space Vehicle Manufacturing,17521646522.44,AK
,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",17289910496.17,AK
,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,16372607254.43,AK
,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",14270495247.03,AK
,336412,Aircraft Engine and Engine Parts Manufacturing,12328237645.96,AK
,541611,Administrative Management and General Management Consulting Services,11731547963.09,AK
,524114,Direct Health and Medical Insurance Carriers,10112963870.81,AK
,541990,"All Other Professional, Scientific, and Technical Services",9721664583.04,AK
,325412,Pharmaceutical Preparation Manufacturing,7766255940.89,AK
,324110,Petroleum Refineries,7202070374.11,AK
,541511,Custom Computer Programming Services,6489708691.25,AK
,541710,"Research and Development in the Physical, Engineering, and Life Sciences",6385409068.37,AK
,237990,Other Heavy and Civil Engineering Construction,6100731671.18,AK
,488190,Other Support Activities for Air Transportation,6031874922.4,AK
,237310,"Highway, Street, and Bridge Construction",5561196875.64,AK
,621111,Offices of Physicians (except Mental Health Specialists),5436342451.86,AK
,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",5416523361.13,AK
,325411,Medicinal and Botanical Manufacturing,4687843181.17,AK
,561612,Security Guards and Patrol Services,4636936434.2,AK
,562910,Remediation Services,4249149367.49,AK
,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,4161278211.57,AK
,332993,Ammunition (except Small Arms) Manufacturing,4120179856.35,AK
,334111,Electronic Computer Manufacturing,3887065410.9,AK
,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,3461434600.45,AK
,481212,Nonscheduled Chartered Freight Air Transportation,3360251464.59,AK
,517110,Wired Telecommunications Carriers,3339257548.83,AK
,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,3335718837.89,AK
,325414,Biological Product (except Diagnostic) Manufacturing,3115476656.06,AK
,511210,Software Publishers,2835249460.51,AK
,541513,Computer Facilities Management Services,2571289255.03,AK
,334290,Other Communications Equipment Manufacturing,2441019362.84,AK
,483111,Deep Sea Freight Transportation,2348104184.9,AK
,561990,All Other Support Services,2339325824.14,AK
,518210,"Data Processing, Hosting, and Related Services",2327981005.59,AK
,562211,Hazardous Waste Treatment and Disposal,2108890118.91,AK
,481211,Nonscheduled Chartered Passenger Air Transportation,2083267012.92,AK
,541690,Other Scientific and Technical Consulting Services,1880376888.55,AK
,541714,Research and Development in Biotechnology (except Nanobiotechnology),1776634214.93,AK
,541614,"Process, Physical Distribution, and Logistics Consulting Services",1752720419.47,AK
,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",1711779349.39,AK
,424210,Drugs and Druggists' Sundries Merchant Wholesalers,1679141178.15,AK
