id,code,name,amount,State
,561210,Facilities Support Services,962938553.53,AK
,236220,Commercial and Institutional Building Construction,813823325.51,AK
,561612,Security Guards and Patrol Services,322762018.57,AK
,541330,Engineering Services,277967116.61,AK
,562910,Remediation Services,212038938.86,AK
,324110,Petroleum Refineries,173399794.67,AK
,237130,Power and Communication Line and Related Structures Construction,149057405.77,AK
,541611,Administrative Management and General Management Consulting Services,141770390.52,AK
,541519,Other Computer Related Services,131868921.5,AK
,236210,Industrial Building Construction,123690734.99,AK
,221112,Fossil Fuel Electric Power Generation,91840820.5,AK
,541512,Computer Systems Design Services,89015497.71,AK
,611519,Other Technical and Trade Schools,87914544.09,AK
,336411,Aircraft Manufacturing,70971454.64,AK
,541513,Computer Facilities Management Services,70538484.17,AK
,541990,"All Other Professional, Scientific, and Technical Services",68633429.26,AK
,493110,General Warehousing and Storage,59316415.4,AK
,237990,Other Heavy and Civil Engineering Construction,54868952.62,AK
,488190,Other Support Activities for Air Transportation,51674858.9,AK
,541511,Custom Computer Programming Services,50661395.74,AK
,561720,Janitorial Services,43276615.42,AK
,237310,"Highway, Street, and Bridge Construction",42548270.99,AK
,238220,"Plumbing, Heating, and Air-Conditioning Contractors",39389785.31,AK
,541690,Other Scientific and Technical Consulting Services,36125573.91,AK
,237110,Water and Sewer Line and Related Structures Construction,34031038.27,AK
,237120,Oil and Gas Pipeline and Related Structures Construction,33648504.06,AK
,561110,Office Administrative Services,32756467.8,AK
,561320,Temporary Help Services,32016656.65,AK
,238990,All Other Specialty Trade Contractors,29727827.56,AK
,518210,"Data Processing, Hosting, and Related Services",27124054.51,AK
,211111,Crude Petroleum and Natural Gas Extraction,25747993.58,AK
,621111,Offices of Physicians (except Mental Health Specialists),23420575.9,AK
,481211,Nonscheduled Chartered Passenger Air Transportation,21694657.5,AK
,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",21171088.09,AK
,811219,Other Electronic and Precision Equipment Repair and Maintenance,19309032.99,AK
,611420,Computer Training,17252295.8,AK
,481212,Nonscheduled Chartered Freight Air Transportation,15946838.08,AK
,238910,Site Preparation Contractors,15559591.15,AK
,541614,"Process, Physical Distribution, and Logistics Consulting Services",15554139.18,AK
,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",14715197.03,AK
,541620,Environmental Consulting Services,13810472.36,AK
,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",13742429.01,AK
,315990,Apparel Accessories and Other Apparel Manufacturing,13662434.02,AK
,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",13201427.29,AK
,561730,Landscaping Services,12301523.21,AK
,337127,Institutional Furniture Manufacturing,12252783.54,AK
,238210,Electrical Contractors and Other Wiring Installation Contractors,11516923.03,AK
,517311,Wired Telecommunications Carriers,10109129.12,AK
,561910,Packaging and Labeling Services,9978047.67,AK
,221210,Natural Gas Distribution,9618761.4,AK
,561621,Security Systems Services (except Locksmiths),8722963.03,AK
,488320,Marine Cargo Handling,8568871.34,AK
,336412,Aircraft Engine and Engine Parts Manufacturing,8055365.96,AK
,238160,Roofing Contractors,7935002.77,AK
,561990,All Other Support Services,7595764.46,AK
,541370,Surveying and Mapping (except Geophysical) Services,7152149.55,AK
,611430,Professional and Management Development Training,6388438.79,AK
,611699,All Other Miscellaneous Schools and Instruction,6197907.87,AK
,562998,All Other Miscellaneous Waste Management Services,6137640.92,AK
,336611,Ship Building and Repairing,5893703.17,AK
,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,5369796.75,AK
,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5349349.41,AK
,722310,Food Service Contractors,5344364.87,AK
,493190,Other Warehousing and Storage,5010370.19,AK
,611692,Automobile Driving Schools,4808024.84,AK
,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",4525177.67,AK
,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,4445252.2,AK
,488310,Port and Harbor Operations,3994829.36,AK
,221320,Sewage Treatment Facilities,3913259.38,AK
,611710,Educational Support Services,3777961.26,AK
,562211,Hazardous Waste Treatment and Disposal,3737153.61,AK
,236118,Residential Remodelers,3584351.32,AK
,624120,Services for the Elderly and Persons with Disabilities,3529821.61,AK
,541199,All Other Legal Services,3438606.69,AK
,115310,Support Activities for Forestry,3317339.84,AK
,621910,Ambulance Services,3250473.0,AK
,485410,School and Employee Bus Transportation,3201088.59,AK
,541320,Landscape Architectural Services,3139851.8,AK
,721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",3105154.13,AK
,221118,Other Electric Power Generation,2923654.0,AK
,336612,Boat Building,2903357.62,AK
,221119,Other Electric Power Generation,2900481.24,AK
,517110,Wired Telecommunications Carriers,2788087.05,AK
,541612,Human Resources Consulting Services,2737128.08,AK
,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,2724930.86,AK
,483111,Deep Sea Freight Transportation,2572750.53,AK
,334111,Electronic Computer Manufacturing,2514037.36,AK
,561330,Professional Employer Organizations,2447775.18,AK
,336111,Automobile Manufacturing,2326816.26,AK
,517911,Telecommunications Resellers,2202670.56,AK
,561790,Other Services to Buildings and Dwellings,1963173.22,AK
,238290,Other Building Equipment Contractors,1875951.77,AK
,621399,Offices of All Other Miscellaneous Health Practitioners,1775715.28,AK
,517919,All Other Telecommunications,1763289.79,AK
,541310,Architectural Services,1695607.03,AK
,923120,Administration of Public Health Programs,1624587.93,AK
,337214,Office Furniture (except Wood) Manufacturing,1613757.77,AK
,532112,Passenger Car Leasing,1607892.86,AK
,561499,All Other Business Support Services,1553049.77,AK
,336112,Light Truck and Utility Vehicle Manufacturing,1498574.01,AK
,337211,Wood Office Furniture Manufacturing,1480095.06,AK
,238390,Other Building Finishing Contractors,1466949.48,AK
,623110,Nursing Care Facilities (Skilled Nursing Facilities),1425704.49,AK
,611310,"Colleges, Universities, and Professional Schools",1424789.69,AK
,561492,Court Reporting and Stenotype Services,1289558.0,AK
,488119,Other Airport Operations,1276037.48,AK
,337125,Household Furniture (except Wood and Metal) Manufacturing,1236711.9,AK
,561422,Telemarketing Bureaus and Other Contact Centers,1228859.56,AK
,481112,Scheduled Freight Air Transportation,1162197.47,AK
,333318,Other Commercial and Service Industry Machinery Manufacturing,1160195.43,AK
,337121,Upholstered Household Furniture Manufacturing,1110169.07,AK
,924120,Administration of Conservation Programs,1107608.86,AK
,221122,Electric Power Distribution,1062210.76,AK
,621999,All Other Miscellaneous Ambulatory Health Care Services,1051141.18,AK
,213112,Support Activities for Oil and Gas Operations,1024275.86,AK
,562991,Septic Tank and Related Services,934232.4,AK
,532283,Home Health Equipment Rental,926591.49,AK
,562111,Solid Waste Collection,901419.37,AK
,811213,Communication Equipment Repair and Maintenance,900294.64,AK
,511210,Software Publishers,898018.9,AK
,324121,Asphalt Paving Mixture and Block Manufacturing,850000.0,AK
,238320,Painting and Wall Covering Contractors,827068.56,AK
,621511,Medical Laboratories,826392.51,AK
,488210,Support Activities for Rail Transportation,819306.41,AK
,238190,"Other Foundation, Structure, and Building Exterior Contractors",749617.1,AK
,221121,Electric Bulk Power Transmission and Control,726000.0,AK
,212321,Construction Sand and Gravel Mining,692352.91,AK
,561710,Exterminating and Pest Control Services,623074.33,AK
,713930,Marinas,611634.84,AK
,811212,Computer and Office Machine Repair and Maintenance,609378.92,AK
,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,591544.09,AK
,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",563514.0,AK
,423520,Coal and Other Mineral and Ore Merchant Wholesalers,560882.37,AK
,333316,Photographic and Photocopying Equipment Manufacturing,545986.52,AK
,333120,Construction Machinery Manufacturing,500897.16,AK
,541714,Research and Development in Biotechnology (except Nanobiotechnology),498661.27,AK
,336390,Other Motor Vehicle Parts Manufacturing,477148.22,AK
,531320,Offices of Real Estate Appraisers,459273.0,AK
,561410,Document Preparation Services,452089.44,AK
,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),450137.59,AK
,484210,Used Household and Office Goods Moving,436973.01,AK
,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",423170.18,AK
,444110,Home Centers,417650.92,AK
,541380,Testing Laboratories,397510.26,AK
,483113,Coastal and Great Lakes Freight Transportation,389208.0,AK
,721110,Hotels (except Casino Hotels) and Motels,379320.61,AK
,541618,Other Management Consulting Services,372912.06,AK
,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,361730.57,AK
,336999,All Other Transportation Equipment Manufacturing,355593.27,AK
,238330,Flooring Contractors,347205.2,AK
,339113,Surgical Appliance and Supplies Manufacturing,341823.77,AK
,562112,Hazardous Waste Collection,334810.85,AK
,562920,Materials Recovery Facilities,328760.1,AK
,327320,Ready-Mix Concrete Manufacturing,310660.0,AK
,332311,Prefabricated Metal Building and Component Manufacturing,309368.15,AK
,325120,Industrial Gas Manufacturing,306172.64,AK
,332439,Other Metal Container Manufacturing,300809.9,AK
