id,code,name,amount,State
,236220,Commercial and Institutional Building Construction,386830996.88,AK
,561210,Facilities Support Services,237831453.84,AK
,324110,Petroleum Refineries,170015741.13,AK
,541330,Engineering Services,153132370.21,AK
,237130,Power and Communication Line and Related Structures Construction,147262524.79,AK
,562910,Remediation Services,130816567.45,AK
,221112,Fossil Fuel Electric Power Generation,92760820.5,AK
,517919,All Other Telecommunications,57114684.69,AK
,481211,Nonscheduled Chartered Passenger Air Transportation,56396775.37,AK
,561612,Security Guards and Patrol Services,55075273.85,AK
,541512,Computer Systems Design Services,44818137.52,AK
,237310,"Highway, Street, and Bridge Construction",36788329.74,AK
,483111,Deep Sea Freight Transportation,35739764.56,AK
,541519,Other Computer Related Services,35291059.46,AK
,211111,Crude Petroleum and Natural Gas Extraction,25747993.58,AK
,237990,Other Heavy and Civil Engineering Construction,25220045.26,AK
,237110,Water and Sewer Line and Related Structures Construction,21605822.21,AK
,561720,Janitorial Services,20149582.89,AK
,237120,Oil and Gas Pipeline and Related Structures Construction,18779325.65,AK
,311710,Seafood Product Preparation and Packaging,18145347.17,AK
,541611,Administrative Management and General Management Consulting Services,17668238.5,AK
,541990,"All Other Professional, Scientific, and Technical Services",16470228.9,AK
,481212,Nonscheduled Chartered Freight Air Transportation,15946838.08,AK
,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",14595981.44,AK
,336611,Ship Building and Repairing,13921984.19,AK
,541620,Environmental Consulting Services,13696015.65,AK
,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",13201427.29,AK
,238210,Electrical Contractors and Other Wiring Installation Contractors,12720914.69,AK
,722310,Food Service Contractors,12697438.38,AK
,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",12394526.76,AK
,541511,Custom Computer Programming Services,11915507.14,AK
,517110,Wired Telecommunications Carriers,11467659.49,AK
,611519,Other Technical and Trade Schools,10821403.1,AK
,561320,Temporary Help Services,9917345.62,AK
,221210,Natural Gas Distribution,9618761.4,AK
,541690,Other Scientific and Technical Consulting Services,9546221.19,AK
,337127,Institutional Furniture Manufacturing,9205729.69,AK
,488320,Marine Cargo Handling,8568871.34,AK
,622110,General Medical and Surgical Hospitals,8349007.61,AK
,541370,Surveying and Mapping (except Geophysical) Services,7712254.82,AK
,561730,Landscaping Services,6294758.99,AK
,562998,All Other Miscellaneous Waste Management Services,6140938.28,AK
,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,6039836.74,AK
,561621,Security Systems Services (except Locksmiths),6033885.72,AK
,315990,Apparel Accessories and Other Apparel Manufacturing,5938600.39,AK
,334111,Electronic Computer Manufacturing,5784024.04,AK
,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,5456691.11,AK
,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5243190.67,AK
,541513,Computer Facilities Management Services,5173245.29,AK
,238910,Site Preparation Contractors,5076037.7,AK
,488310,Port and Harbor Operations,5033356.84,AK
,488190,Other Support Activities for Air Transportation,4466925.7,AK
,115310,Support Activities for Forestry,4330761.13,AK
,238220,"Plumbing, Heating, and Air-Conditioning Contractors",4123208.66,AK
,481112,Scheduled Freight Air Transportation,4070374.68,AK
,221320,Sewage Treatment Facilities,3913259.38,AK
,562211,Hazardous Waste Treatment and Disposal,3730970.09,AK
,541310,Architectural Services,3631053.89,AK
,483114,Coastal and Great Lakes Passenger Transportation,3584578.13,AK
,236118,Residential Remodelers,3584351.32,AK
,624120,Services for the Elderly and Persons with Disabilities,3529821.61,AK
,541320,Landscape Architectural Services,3174675.8,AK
,721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",3105154.13,AK
