Description,United States Total,,,,,Alabama,,,,,Alaska,,,,,Arizona,,,,,Arkansas,,,,,California,,,,,Colorado,,,,,Connecticut,,,,,Delaware,,,,,District of Columbia,,,,,Florida,,,,,Georgia,,,,,Hawaii,,,,,Idaho,,,,,Illinois,,,,,Indiana,,,,,Iowa,,,,,Kansas,,,,,Kentucky,,,,,Louisiana,,,,,Maine,,,,,Maryland,,,,,Massachusetts,,,,,Michigan,,,,,Minnesota,,,,,Mississippi,,,,,Missouri,,,,,Montana,,,,,Nebraska,,,,,Nevada,,,,,New Hampshire,,,,,New Jersey,,,,,New Mexico,,,,,New York,,,,,North Carolina,,,,,North Dakota,,,,,Ohio,,,,,Oklahoma,,,,,Oregon,,,,,Pennsylvania,,,,,Rhode Island,,,,,South Carolina,,,,,South Dakota,,,,,Tennessee,,,,,Texas,,,,,Utah,,,,,Vermont,,,,,Virginia,,,,,Washington,,,,,West Virginia,,,,,Wisconsin,,,,,Wyoming,,,,
,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local
,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government
,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV
,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
Description,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130
            Revenue1,"4,074,320,642",0.05,"2,588,678,648","2,072,000,239",0.10,"53,171,724",0.13,"35,539,404","24,302,465",0.30,"13,884,789",0.23,"10,033,039","5,593,147",0.58,"71,245,982",0.13,"47,505,631","33,172,039",0.27,"30,677,927",0.18,"24,694,523","11,049,871",0.51,"664,585,834",0.17,"418,413,789","366,986,097",0.32,"63,700,623",0.66,"33,922,887","37,835,315",1.13,"51,371,714",0.65,"36,486,373","20,378,022",1.69,"12,501,688",0.13,"10,189,536","4,044,942",0.39,"16,283,373",0.00,0,"16,488,499",0.00,"200,027,782",0.15,"106,125,128","117,046,244",0.26,"96,863,915",0.42,"57,570,243","52,524,929",0.78,"20,440,978",0.00,"16,232,530","4,928,383",0.00,"16,330,832",0.41,"11,896,420","7,182,735",0.98,"147,098,404",0.33,"86,637,493","82,067,906",0.62,"72,014,492",0.15,"49,329,209","34,080,782",0.44,"43,605,881",0.21,"30,841,423","18,571,170",0.52,"33,415,925",0.32,"22,533,714","16,299,458",0.67,"46,418,737",0.18,"34,745,977","16,352,633",0.57,"50,304,450",0.28,"34,202,347","21,980,024",0.63,"15,679,534",0.92,"10,993,631","6,198,754",2.32,"75,622,086",0.04,"49,183,927","35,145,665",0.09,"97,922,872",0.33,"69,872,352","38,336,529",0.93,"108,162,564",0.25,"77,385,191","51,101,225",0.55,"78,188,381",0.14,"55,971,829","35,642,930",0.35,"32,342,736",0.16,"23,285,114","13,496,306",0.42,"61,563,536",0.35,"38,697,608","29,770,679",0.73,"11,929,923",0.25,"8,857,951","4,364,871",0.72,"25,103,579",0.46,"12,344,660","15,206,798",0.78,"33,911,683",0.04,"22,791,779","17,820,255",0.08,"14,234,368",0.53,"9,578,485","6,636,757",1.14,"120,968,019",0.43,"81,402,734","52,398,526",1.02,"29,855,007",0.25,"23,981,479","9,998,484",0.75,"384,382,649",0.08,"215,510,107","225,713,623",0.14,"108,607,414",0.10,"69,156,135","55,013,011",0.48,"12,347,766",0.27,"9,436,294","4,973,762",0.80,"130,284,397",0.23,"86,998,264","61,137,801",0.52,"39,503,872",0.30,"27,739,905","16,201,219",0.76,"62,438,661",0.16,"44,862,467","25,297,732",0.43,"157,636,535",0.36,"107,137,125","74,814,477",0.77,"13,499,081",0.22,"9,748,237","5,182,856",0.59,"54,319,091",0.22,"35,090,590","25,693,696",0.46,"8,517,649",0.65,"5,324,210","4,123,429",1.37,"69,732,012",0.20,"41,423,263","36,321,943",0.47,"291,325,245",0.32,"165,072,009","163,965,992",0.57,"34,524,394",0.21,"22,253,053","16,203,918",0.45,"8,567,527",0.58,"7,146,231","3,807,044",6.36,"97,606,534",0.14,"66,074,432","45,827,220",0.40,"106,904,661",0.41,"65,392,058","59,153,361",0.74,"19,217,314",0.11,"15,377,390","5,707,587",0.37,"55,923,144",0.22,"37,597,438","30,679,434",0.42,"9,553,355",0.30,"6,093,034","5,179,692",0.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General revenue1,"3,466,369,712",0.05,"2,198,568,186","1,854,159,771",0.10,"44,475,807",0.14,"30,461,683","20,684,269",0.30,"12,123,648",0.26,"8,697,429","5,167,615",0.62,"58,494,367",0.15,"40,471,995","27,454,059",0.32,"27,054,776",0.19,"22,162,401","9,958,842",0.54,"530,092,499",0.20,"333,146,298","317,760,252",0.34,"58,522,235",0.72,"31,988,276","34,591,538",1.22,"45,496,671",0.73,"32,147,127","18,842,225",1.82,"11,228,138",0.10,"9,477,591","3,483,336",0.32,"14,210,508",0.00,0,"14,415,634",0.00,"172,552,210",0.14,"92,638,934","103,056,866",0.24,"81,491,591",0.49,"47,187,216","47,535,631",0.85,"18,564,249",0.00,"14,787,475","4,496,709",0.00,"13,574,530",0.49,"9,389,239","6,933,614",1.01,"131,131,066",0.36,"77,306,184","75,431,878",0.65,"65,188,154",0.16,"45,516,264","31,067,390",0.48,"37,387,628",0.24,"25,870,163","17,324,177",0.55,"29,425,110",0.36,"20,202,166","14,640,191",0.72,"40,486,254",0.17,"30,798,887","14,367,240",0.55,"45,290,088",0.29,"30,412,207","20,755,802",0.65,"13,826,446",1.03,"9,293,201","6,046,096",2.37,"67,711,387",0.04,"43,893,341","32,525,553",0.09,"85,617,404",0.34,"61,335,157","34,568,256",0.94,"94,676,835",0.25,"67,936,695","47,063,992",0.53,"64,728,311",0.16,"45,588,233","32,566,456",0.37,"27,867,246",0.16,"19,731,475","12,574,454",0.41,"51,212,403",0.41,"31,306,201","26,810,953",0.79,"10,250,416",0.27,"7,364,684","4,178,631",0.70,"18,937,507",0.61,"10,794,469","10,590,917",1.11,"26,466,512",0.05,"16,744,176","16,422,687",0.09,"12,161,449",0.62,"7,633,580","6,508,743",1.16,"108,607,325",0.46,"70,324,430","51,116,136",0.99,"25,644,296",0.16,"20,535,448","9,233,804",0.45,"321,512,046",0.09,"178,010,365","200,342,761",0.15,"93,369,886",0.11,"59,186,965","49,744,653",0.53,"11,100,300",0.29,"8,508,509","4,654,081",0.82,"112,267,336",0.25,"72,161,318","57,957,686",0.53,"34,094,012",0.26,"23,907,575","14,623,690",0.64,"50,032,528",0.20,"34,757,201","22,996,864",0.46,"138,563,580",0.28,"93,150,067","69,728,580",0.58,"11,888,651",0.24,"8,492,102","4,828,560",0.60,"46,035,560",0.25,"28,767,045","23,733,711",0.48,"7,254,587",0.76,"4,440,112","3,744,465",1.50,"51,114,980",0.23,"32,691,169","26,437,004",0.59,"254,750,505",0.23,"145,501,404","146,961,857",0.40,"31,452,028",0.22,"21,262,309","14,122,295",0.49,"7,694,460",0.62,"6,548,731","3,531,477",6.84,"84,407,764",0.13,"56,333,840","42,369,043",0.38,"85,375,515",0.49,"51,720,345","51,295,928",0.82,"17,173,266",0.11,"13,682,220","5,358,709",0.36,"55,022,778",0.21,"38,774,619","28,601,887",0.44,"8,762,866",0.32,"5,529,665","4,952,572",0.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intergovernmental revenue1,"761,438,492",0.03,"708,501,938","639,294,800",0.10,"12,335,578",0.22,"11,335,441","7,670,283",0.42,"3,940,347",0.74,"3,703,979","1,977,765",1.53,"17,558,044",0.05,"16,861,452","10,128,280",0.13,"8,165,204",0.33,"7,896,933","5,334,738",0.55,"112,137,546",0.11,"102,419,964","130,531,634",0.22,"10,129,850",0.26,"9,087,124","9,100,305",0.67,"8,935,771",0.05,"8,786,640","5,641,813",1.58,"2,583,726",0.00,"2,564,999","1,751,516",0.08,"3,870,155",0.00,0,"4,075,281",0.00,"33,358,400",0.09,"29,283,126","27,218,864",0.32,"17,013,708",0.16,"15,788,655","14,456,310",0.38,"3,084,327",0.00,"3,281,266","522,996",0.00,"3,234,909",0.34,"3,106,338","2,876,894",0.86,"23,802,741",0.12,"20,974,021","24,435,715",0.59,"15,969,049",0.23,"15,618,221","11,746,327",0.96,"6,750,358",0.27,"6,382,227","6,174,843",0.58,"4,637,011",0.77,"4,358,447","5,695,812",0.66,"12,769,731",0.11,"12,259,406","5,190,198",0.79,"14,642,850",0.11,"14,196,172","6,324,599",0.36,"3,260,052",0.53,"3,158,558","1,614,346",1.27,"14,619,946",0.06,"13,455,977","9,871,476",0.17,"18,625,426",0.13,"17,753,608","11,157,828",1.34,"24,100,336",0.10,"22,671,975","21,752,214",0.39,"12,586,624",0.13,"11,771,283","14,241,719",0.42,"8,769,039",0.07,"8,345,388","4,862,334",0.53,"12,547,047",0.35,"12,012,234","7,439,564",0.70,"3,481,825",0.12,"3,226,125","1,548,600",0.68,"3,613,798",0.45,"3,307,712","2,753,966",1.03,"5,737,827",0.04,"5,416,022","7,022,156",0.05,"2,500,984",0.36,"2,821,709","1,660,149",0.83,"18,614,105",0.17,"18,630,422","12,816,924",0.77,"7,752,046",0.12,"7,525,267","4,351,735",0.30,"72,928,201",0.04,"67,089,737","62,679,544",0.16,"21,652,512",0.06,"19,607,962","17,606,282",1.36,"1,971,502",0.62,"1,795,231","2,238,561",1.10,"26,941,990",0.16,"25,201,468","19,592,191",0.62,"7,810,213",0.42,"7,395,887","4,851,579",0.88,"11,866,930",0.26,"11,024,750","8,563,717",0.61,"34,396,748",0.11,"31,306,266","27,405,549",0.36,"2,986,276",0.86,"2,931,899","1,486,388",1.73,"9,760,391",0.11,"9,617,121","6,608,466",0.24,"1,696,315",1.43,"1,525,193","1,101,112",2.40,"12,651,801",0.06,"11,933,633","8,731,362",1.19,"50,925,749",0.08,"50,052,351","38,586,154",0.22,"5,466,534",0.24,"4,810,683","4,588,427",0.38,"2,136,392",0.30,"2,060,730","2,461,410",9.62,"12,958,156",0.26,"12,220,346","15,032,928",0.84,"15,533,320",0.42,"13,953,720","19,220,359",0.40,"5,300,061",0.28,"5,168,471","1,999,253",0.77,"10,904,698",0.13,"10,514,723","12,743,703",0.37,"2,422,336",0.24,"2,291,076","1,850,630",0.95
     From Federal Government,"761,438,492",0.03,"691,320,992","70,117,500",0.30,"12,335,578",0.22,"11,170,173","1,165,405",2.32,"3,940,347",0.74,"3,696,208","244,139",11.94,"17,558,044",0.05,"16,588,184","969,860",0.93,"8,165,204",0.33,"7,861,857","303,347",9.01,"112,137,546",0.11,"99,652,425","12,485,121",1.01,"10,129,850",0.26,"9,029,698","1,100,152",2.44,"8,935,771",0.05,"8,390,174","545,597",0.83,"2,583,726",0.00,"2,498,175","85,551",0.12,"3,870,155",0.00,0,"3,870,155",0.00,"33,358,400",0.09,"28,968,624","4,389,776",0.71,"17,013,708",0.16,"15,714,691","1,299,017",2.10,"3,084,327",0.00,"2,879,214","205,113",0.00,"3,234,909",0.34,"3,081,540","153,369",7.26,"23,802,741",0.12,"20,565,153","3,237,588",0.86,"15,969,049",0.23,"15,552,172","416,877",8.67,"6,750,358",0.27,"6,342,099","408,259",4.49,"4,637,011",0.77,"4,324,244","312,767",11.47,"12,769,731",0.11,"12,217,256","552,475",2.45,"14,642,850",0.11,"13,685,292","957,558",1.74,"3,260,052",0.53,"3,126,809","133,243",12.88,"14,619,946",0.06,"13,263,030","1,356,916",0.64,"18,625,426",0.13,"17,177,121","1,448,305",1.63,"24,100,336",0.10,"22,500,688","1,599,648",1.54,"12,586,624",0.13,"11,563,602","1,023,022",1.64,"8,769,039",0.07,"8,294,870","474,169",1.24,"12,547,047",0.35,"11,793,159","753,888",5.83,"3,481,825",0.12,"3,222,934","258,891",1.56,"3,613,798",0.45,"3,275,810","337,988",4.82,"5,737,827",0.04,"5,214,619","523,208",0.40,"2,500,984",0.36,"2,403,513","97,471",9.13,"18,614,105",0.17,"17,757,467","856,638",3.61,"7,752,046",0.12,"7,278,649","473,397",2.04,"72,928,201",0.04,"65,797,528","7,130,673",0.37,"21,652,512",0.06,"19,434,928","2,217,584",0.57,"1,971,502",0.62,"1,742,248","229,254",5.33,"26,941,990",0.16,"24,581,658","2,360,332",1.83,"7,810,213",0.42,"7,242,072","568,141",5.83,"11,866,930",0.26,"10,990,965","875,965",3.58,"34,396,748",0.11,"31,238,104","3,158,644",1.15,"2,986,276",0.86,"2,830,805","155,471",16.48,"9,760,391",0.11,"9,281,408","478,983",2.28,"1,696,315",1.43,"1,492,014","204,301",11.91,"12,651,801",0.06,"11,834,164","817,637",0.98,"50,925,749",0.08,"46,151,565","4,774,184",0.90,"5,466,534",0.24,"4,806,692","659,842",1.98,"2,136,392",0.30,"2,058,848","77,544",8.40,"12,958,156",0.26,"11,477,535","1,480,621",2.28,"15,533,320",0.42,"13,611,420","1,921,900",3.39,"5,300,061",0.28,"5,069,456","230,605",6.49,"10,904,698",0.13,"10,314,466","590,232",2.32,"2,422,336",0.24,"2,275,666","146,670",3.94
