State,State Expenditure (in thousands),Utilities,Health and Social Services Expenditure,Education Related Expenditure,Public Administration Expenditure,Transportation Expenditure,State Total as % of US Total,Utilities (State as % of US),Utilities (% of Total Expenditure),Health and Social Services Expenditure (State as % of US),Health and Social Services Expenditure (% of Total Expenditure),Education Related Expenditure (State as % of US),Education Related Expenditure (% of Total Expenditure),Public Administration Expenditure (State as % of US),Public Administration Expenditure (% of Total Expenditure),Transportation Expenditure (State as % of US),Transportation Expenditure (% of Total Expenditure)
Alaska,15076507,662585,3432117,3123400,3123400,1871269,0.3563871522233379,0.25970833975596225,4.394817712086758,0.3006765778208677,22.76466956172275,0.27282509380120495,20.717000297217385,0.27282509380120495,20.717000297217385,0.7584376727619375,12.41182058947739
Alabama,52646924,3328580,16217017,15342284,15342284,3035451,1.2444982990873483,1.3046778685676566,6.32245864924606,1.4207199737138434,30.80335139807978,1.340129369092888,29.141843120787076,1.340129369092888,29.141843120787076,1.2302883189017164,5.7656758826023715
Arkansas,28980661,997150,9267271,8981653,8981653,1954279,0.6850615492925484,0.39084520625679386,3.440742776708923,0.8118753906170945,31.977431432637093,0.7845361856358051,30.991884553633888,0.7845361856358051,30.991884553633888,0.7920821734809513,6.743390014465163
Arizona,71488388,6437486,19448164,19820840,19820840,3892365,1.689883672415437,2.5232518111068774,9.004939375608805,1.7037902252222163,27.204647557586554,1.7313256490422855,27.725957396045914,1.7313256490422855,27.725957396045914,1.5776012172167757,5.444751390953171
California,678462621,47236140,203249197,161448285,161448285,29738225,16.037890035680796,18.51478602123531,6.962231748357437,17.805999328927125,29.957316837945598,14.10230630055986,23.79619451430324,14.10230630055986,23.79619451430324,12.053098812127422,4.3831780969993925
Colorado,74023492,4609612,15038879,20290185,20290185,4807637,1.7498099202625006,1.8067941161347763,6.227228512807799,1.3175071455845222,20.316359838846836,1.7723223493208686,27.410467206815913,1.7723223493208686,27.410467206815913,1.9485669979913005,6.494744938539242
Connecticut,45285851,1423391,6582163,14260766,14260766,2177743,1.0704930176399876,0.5579156084631841,3.143125211448494,0.5766418351994225,14.534700915745185,1.245660120902553,31.490555405484155,1.245660120902553,31.490555405484155,0.8826536071476629,4.8088816968461074
Delaware,13311734,611023,3443842,4494531,4494531,767628,0.314670432044676,0.23949797970480363,4.5901082458528695,0.30170376683422295,25.87072427979706,0.3925916762718267,33.76367797012771,0.3925916762718267,33.76367797012771,0.3111246933855584,5.766551525143155
Florida,208234166,12233643,50051526,50274090,50274090,16427556,4.922359099249038,4.795126833081264,5.874945132682981,4.384850968772971,24.036173775632957,4.391379048479291,24.143055371614665,4.391379048479291,24.143055371614665,6.65819683958127,7.888982060705639
Georgia,100471745,6435649,22057010,32079992,32079992,6490330,2.3750089513081103,2.5225317763639663,6.405431696244551,1.9323427155195052,21.95344571749998,2.8021472839027677,31.92936680854901,2.8021472839027677,31.92936680854901,2.6305735736855502,6.459855952536706
