State,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting (State as % of US)","Agriculture, Forestry, Fishing and Hunting (as % of Total Funding Received by State)","Mining, Quarrying, and Oil and Gas Extraction (State as % of US)","Mining, Quarrying, and Oil and Gas Extraction (as % of Total Funding Received by State)",Utilities (State as % of US),Utilities (as % of Total Funding Received by State),Construction (State as % of US),Construction (as % of Total Funding Received by State),Manufacturing (State as % of US),Manufacturing (as % of Total Funding Received by State),Wholesale Trade (State as % of US),Wholesale Trade (as % of Total Funding Received by State),Retail Trade (State as % of US),Retail Trade (as % of Total Funding Received by State),Transportation and Warehousing (State as % of US),Transportation and Warehousing (as % of Total Funding Received by State),Information (State as % of US),Information (as % of Total Funding Received by State),Finance and Insurance (State as % of US),Finance and Insurance (as % of Total Funding Received by State),Real Estate and Rental and Leasing (State as % of US),Real Estate and Rental and Leasing (as % of Total Funding Received by State),"Professional, Scientific, and Technical Services (State as % of US)","Professional, Scientific, and Technical Services (as % of Total Funding Received by State)",Administrative and Support and Waste Management and Remediation Services (State as % of US),Administrative and Support and Waste Management and Remediation Services (as % of Total Funding Received by State),Educational Services (State as % of US),Educational Services (as % of Total Funding Received by State),Health Care and Social Assistance (State as % of US),Health Care and Social Assistance (as % of Total Funding Received by State),"Arts, Entertainment, and Recreation (State as % of US)","Arts, Entertainment, and Recreation (as % of Total Funding Received by State)",Accommodation and Food Services (State as % of US),Accommodation and Food Services (as % of Total Funding Received by State),Other Services (except Public Administration) (State as % of US),Other Services (except Public Administration) (as % of Total Funding Received by State),Public Administration (not covered in economic census) (State as % of US),Public Administration (not covered in economic census) (as % of Total Funding Received by State)
Alaska,5434282.0,0.8656645143591593,0.15678244154425552,16.706151829754862,0.7435388888541301,5.032427833165923,1.8328088236863673,3.589765508114344,28.638907587055655,0.15029103390650794,6.749097672884845,0.20136074079167365,0.5108678570600494,0.08515562256069209,0.01779443908137266,0.9543808251189978,3.4116374527490474,0.40362354000207457,1.1020039077839539,0.0004002659813988951,0.0015825457714561005,1.1000514042712275,0.1949291553143543,0.6436102573680075,22.240987861873933,3.0500725999776965,29.684436692832648,3.451113549099643,2.9371313450424545,0.18501622577331817,0.6004841117925055,0.36729129353898793,0.012641964476631871,0.7353726467974547,0.20146175704536498,0.9551295938944594,0.6636203273955971,2.7853559874706932,0.2992851677553723
Alabama,12180702.0,0.23602566512398204,0.019071150414811888,0.23773789293939132,0.004720581785844526,1.2188479580267224,0.1980427729042218,4.062597106780738,14.459856254590253,1.4241631070012744,28.53265764157107,0.06948475962770095,0.07864899740589665,0.16670071717413665,0.015540976209745547,0.38512821838033756,0.6142092631442753,0.2794684915704175,0.3404155195652927,0.09198205337658565,0.1622484484063398,3.4187475011812594,0.27027177908136985,3.1371765271206122,48.36597266725678,0.5867784430648615,2.5477841917485544,2.2747096071691275,0.8636940629530219,1.7427539658402622,2.523467038270865,0.18605148493677992,0.002856978193867644,1.0174849153898289,0.12436064850777895,2.712570165462569,0.8408300276946272,0.7374411511343338,0.03535100029538527
Arkansas,732996.0,1.3031705470857486,1.749804910258719,0.039278434485638565,0.012960507287897887,0.1838149845086107,0.496319215930237,0.26847833628451834,15.879622808310003,0.12986376292852636,43.23557018046483,0.0077318114575291455,0.1454305344094647,0.019373564594986827,0.030013806350921424,0.04945949237717414,1.3107847791802412,0.016836182128129817,0.34079312847546234,1.8617022390646288e-05,0.0005457055700167532,0.04299266320856115,0.056480526496733956,0.04302617093379294,11.02311608794591,0.29665080346660216,21.404482425552118,0.0512222639764996,0.3231941238424221,0.13018946360035952,3.1326228246811714,0.016573551819080972,0.004229218167629837,0.10834454505702362,0.2200557711092557,0.06936429044753872,0.3573007219684691,0.3473132035532812,0.27667272399849385
Arizona,23575622.0,3.0717881763639046,0.12823839812158508,1.6009062981936055,0.016423744832692006,1.6235137664185484,0.136293328761379,1.4110584002485933,2.59486260850297,3.3545057933420575,34.72323657038614,0.2861060363543102,0.1673169004830498,0.3717963169092472,0.01790832920548183,1.219834368355232,1.0051272454232596,1.571884735102759,0.9892506759736815,16.928281598101957,15.427639618585673,1.96374700790795,0.08020997282701597,1.299412301559233,10.3503992386712,0.5030890867922267,1.1286064902126443,5.085296204795649,0.9976067651576701,42.553533485600916,31.83510916488227,0.5496003635488786,0.004360436386365543,2.945722271218705,0.18601842191056506,1.2826434601312915,0.20541981882810983,0.24113263836440826,0.005972270848251639
California,57859429.0,12.26195495902826,0.2085813878322235,18.91359984784775,0.07906230806391124,9.884021738471395,0.33809701094699707,14.020816741375072,10.50586240662693,8.925974495767464,37.64751463413163,2.087937242641651,0.4975299704392175,13.777334338410382,0.27039845139156143,8.674030544016324,2.9122599879096627,7.280415375168168,1.8669420329053024,15.994945106080491,5.939616168697413,7.633897741846711,0.12705102914168062,10.330773267553882,33.52987807743488,2.496174684353554,2.2817162609745076,7.738367313579284,0.6185595091164829,6.944526656238809,2.1169099335563786,21.442968269667727,0.06931973006508585,7.508821046112593,0.19320792121885613,11.731914300803185,0.7655865390583098,3.161611957986748,0.03190664048896853
Colorado,14074552.0,3.349979425227211,0.23425967661350783,0.4022938605739613,0.006913186295379065,4.874482357197282,0.6854498814598148,1.4354850227668117,4.421774845835235,0.8677205575883615,15.04527462046394,0.10818008244751144,0.10597140143430497,0.06578205796570527,0.005307451349073135,4.853681133911369,6.699154616075879,4.615162821989456,4.865206366781692,0.009992686768179394,0.015254481989906322,0.44934602343827074,0.030743429702060857,3.2983823551706646,44.008818184763534,4.193050028355909,15.756373630933332,2.4653714576312526,0.8101288055207725,4.413633731828075,5.53089718237568,2.154561736480526,0.02863323820182696,2.5034777054062785,0.26481127072463834,5.281194199354931,1.416762679195757,1.6454562424753085,0.0682650502836609
Connecticut,19727600.0,0.019101517452995535,0.0009529795819055536,0.03597077684474269,0.00044100650864778283,0.1415244012118248,0.014198381962326893,0.164193496124586,0.3608396358401427,6.628651481228748,81.99846914982055,0.0863482320843194,0.06034692512013626,0.13429402730615866,0.007730286502159411,2.914393381488045,2.8698371824246234,0.21004788471703992,0.15797664186216265,0.022573139648658622,0.02458484559703157,1.3933153678001569,0.06801131409801496,1.425998141107959,13.574317200267647,0.13925725857023669,0.37333988929215917,0.3583612508005506,0.08401427441756727,0.29604750639721156,0.26467994079360896,0.2838889037397418,0.0026916604148502607,0.461723746262852,0.03484458322350412,0.45758184271177027,0.08757780976905452,0.5117218206199233,0.015146292503903161
Delaware,1035408.0,0.021641612858978983,0.020571600760280005,0.2877662147579415,0.06721987854063326,0.07023167357530756,0.13424659651074747,0.053999212443249046,2.2610410582108695,0.27526741346583894,64.87809636394543,0.004438901136967952,0.05910713457883269,0.0012328632014991616,0.0013521239936334275,0.4042314840143606,7.584063480289896,0.020738563814353662,0.29717753774357547,0.7503171991546196,15.569804366974177,0.08484300927873058,0.07890609305703646,0.02481490569827289,4.500641293094123,0.044211924850278264,2.2583368102236028,0.22130007251982836,0.9884992196312951,0.013153887098372707,0.22406626180211087,0.053463070384132165,0.009658028525953054,0.215748715885406,0.3102158762536121,0.20642431452772692,0.7527467433127811,0.007535394948887758,0.004249532551419344
Florida,23899859.0,2.735276336979217,0.11264083189779489,1.9672293819228241,0.01990806724006196,5.06835209209545,0.41971377320677916,3.862361079639185,7.006321669094366,4.914147396811282,50.177342050427995,3.596982301549931,2.075003873453814,1.4431544390120188,0.06856944218792253,8.766489114227232,7.125472999652424,0.7076992777493543,0.43934150406494027,0.39172542237718616,0.352156889293782,6.992019357083146,0.28171714318481966,2.5574454816122425,20.094829848159353,2.849159152832738,6.304957698704415,9.510778729765693,1.8404627408052912,2.556820823419725,1.886856319947327,15.281884038600339,0.11959903194407968,5.750119729790183,0.3581862135672014,5.623407256580073,0.8883901783688346,17.540001815345146,0.4285297247987948
Georgia,8845570.0,0.6465050827309073,0.07193431288204152,8.044223382658778,0.21995190813028442,3.139355808816248,0.7024194031588693,0.9155600953039623,4.4873874719209725,1.7103432316690117,47.185902095625266,0.4696676539595143,0.7320500544340274,4.4531018838149725,0.5716759914850033,3.0837437541175494,6.772293927920982,1.1089571252266195,1.8601062452730577,0.11191623010137015,0.27184228941718847,1.4627890192168898,0.15924355355279535,1.2370608571770276,26.262648987007054,0.9438431978129969,5.643322024471006,2.5115341986991404,1.3131657993775416,0.379047400032159,0.7557907517548332,6.178192413590312,0.13064166582820552,7.361786818505759,1.239038298266816,3.685497698715847,1.5731490452282892,0.7186026637621145,0.04743617426576241
