id,code,name,amount,State
,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",3004819757.83,AL
,236220,Commercial and Institutional Building Construction,2411242728.01,AL
,336611,Ship Building and Repairing,1109897419.26,AL
,541330,Engineering Services,875698064.16,AL
,336414,Guided Missile and Space Vehicle Manufacturing,843174162.12,AL
,488190,Other Support Activities for Air Transportation,447560519.89,AL
,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,372034740.82,AL
,336411,Aircraft Manufacturing,308277793.84,AL
,541519,Other Computer Related Services,239521100.34,AL
,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,171330311.06,AL
,541512,Computer Systems Design Services,167134182.55,AL
,561210,Facilities Support Services,155760920.58,AL
,541511,Custom Computer Programming Services,120343178.71,AL
,541611,Administrative Management and General Management Consulting Services,95155333.56,AL
,541710,"Research and Development in the Physical, Engineering, and Life Sciences",90756014.35,AL
,622110,General Medical and Surgical Hospitals,87769855.16,AL
,324110,Petroleum Refineries,82544422.38,AL
,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,76524621.88,AL
,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,65761958.18,AL
,524114,Direct Health and Medical Insurance Carriers,61759708.0,AL
,311991,Perishable Prepared Food Manufacturing,61172253.24,AL
,483111,Deep Sea Freight Transportation,53179171.23,AL
,562910,Remediation Services,45822075.97,AL
,541513,Computer Facilities Management Services,41266218.4,AL
,237990,Other Heavy and Civil Engineering Construction,38943698.21,AL
,541690,Other Scientific and Technical Consulting Services,34865969.46,AL
,561720,Janitorial Services,32929249.41,AL
,315999,Other Apparel Accessories and Other Apparel Manufacturing,30166134.71,AL
,237310,"Highway, Street, and Bridge Construction",30156269.84,AL
,811219,Other Electronic and Precision Equipment Repair and Maintenance,29758879.54,AL
,541990,"All Other Professional, Scientific, and Technical Services",29316552.69,AL
,321991,Manufactured Home (Mobile Home) Manufacturing,29223936.08,AL
,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,28830040.78,AL
,236210,Industrial Building Construction,25528645.36,AL
,518210,"Data Processing, Hosting, and Related Services",25056635.24,AL
,611430,Professional and Management Development Training,24327033.53,AL
,561110,Office Administrative Services,21914091.66,AL
,611630,Language Schools,19336854.52,AL
,332993,Ammunition (except Small Arms) Manufacturing,18983356.44,AL
,336120,Heavy Duty Truck Manufacturing,18906963.72,AL
,541380,Testing Laboratories,18247930.07,AL
,315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing,18067138.36,AL
,311812,Commercial Bakeries,18006435.45,AL
,541370,Surveying and Mapping (except Geophysical) Services,17662886.12,AL
,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",17418290.9,AL
,541614,"Process, Physical Distribution, and Logistics Consulting Services",17003273.56,AL
,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",16266263.38,AL
,722310,Food Service Contractors,15597607.4,AL
,334111,Electronic Computer Manufacturing,13044588.75,AL
,221122,Electric Power Distribution,12965204.15,AL
,238220,"Plumbing, Heating, and Air-Conditioning Contractors",12902998.86,AL
,424480,Fresh Fruit and Vegetable Merchant Wholesalers,12401568.65,AL
,335313,Switchgear and Switchboard Apparatus Manufacturing,12247197.72,AL
,336612,Boat Building,11781385.09,AL
,339113,Surgical Appliance and Supplies Manufacturing,11734408.79,AL
,335932,Noncurrent-Carrying Wiring Device Manufacturing,11086081.86,AL
,332312,Fabricated Structural Metal Manufacturing,11046276.22,AL
,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,10610972.12,AL
,561612,Security Guards and Patrol Services,9756596.9,AL
,541711,Research and Development in Biotechnology,9464476.59,AL
,238910,Site Preparation Contractors,9343911.4,AL
,621111,Offices of Physicians (except Mental Health Specialists),9325061.49,AL
,339112,Surgical and Medical Instrument Manufacturing,8913848.26,AL
,336112,Light Truck and Utility Vehicle Manufacturing,8871624.34,AL
,238990,All Other Specialty Trade Contractors,7366694.47,AL
,611710,Educational Support Services,7151451.39,AL
,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,6812697.05,AL
,336211,Motor Vehicle Body Manufacturing,6799435.69,AL
,524298,All Other Insurance Related Activities,6733400.0,AL
,621399,Offices of All Other Miscellaneous Health Practitioners,6427492.43,AL
,336390,Other Motor Vehicle Parts Manufacturing,6123851.07,AL
,541620,Environmental Consulting Services,6066135.04,AL
,332995,Other Ordnance and Accessories Manufacturing,5847076.55,AL
,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",5706424.09,AL
,493110,General Warehousing and Storage,5555572.65,AL
,238210,Electrical Contractors and Other Wiring Installation Contractors,5338740.96,AL
,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",5082586.37,AL
,611512,Flight Training,4903983.67,AL
,541310,Architectural Services,4900341.81,AL
,562111,Solid Waste Collection,4773542.68,AL
,561730,Landscaping Services,4740276.53,AL
,221310,Water Supply and Irrigation Systems,4593602.73,AL
,335931,Current-Carrying Wiring Device Manufacturing,4343507.46,AL
,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,4244345.16,AL
,541613,Marketing Consulting Services,4200349.65,AL
,315990,Apparel Accessories and Other Apparel Manufacturing,4138896.14,AL
,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",3995783.29,AL
,339999,All Other Miscellaneous Manufacturing,3957036.24,AL
,512110,Motion Picture and Video Production,3912447.73,AL
,337214,Office Furniture (except Wood) Manufacturing,3906786.69,AL
,621999,All Other Miscellaneous Ambulatory Health Care Services,3895135.78,AL
,334210,Telephone Apparatus Manufacturing,3885298.0,AL
,721110,Hotels (except Casino Hotels) and Motels,3871581.66,AL
,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,3805913.51,AL
,332510,Hardware Manufacturing,3682286.2,AL
,561990,All Other Support Services,3421478.69,AL
,541360,Geophysical Surveying and Mapping Services,3415868.27,AL
,313210,Broadwoven Fabric Mills,3380670.36,AL
,623110,Nursing Care Facilities (Skilled Nursing Facilities),3348930.53,AL
,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,3282976.71,AL
,335312,Motor and Generator Manufacturing,3257315.37,AL
,334112,Computer Storage Device Manufacturing,3153420.48,AL
,624310,Vocational Rehabilitation Services,3079387.55,AL
,333293,Printing Machinery and Equipment Manufacturing,3077402.55,AL
,314999,All Other Miscellaneous Textile Product Mills,3076636.93,AL
,313310,Textile and Fabric Finishing Mills,3073545.6,AL
,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",3046521.83,AL
,621910,Ambulance Services,3026612.87,AL
,339116,Dental Laboratories,2880386.07,AL
,611310,"Colleges, Universities, and Professional Schools",2681507.41,AL
,561499,All Other Business Support Services,2665199.53,AL
,336212,Truck Trailer Manufacturing,2636956.32,AL
,332710,Machine Shops,2582830.2,AL
,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,2577652.63,AL
,517919,All Other Telecommunications,2482127.96,AL
,562920,Materials Recovery Facilities,2362874.48,AL
,812320,Drycleaning and Laundry Services (except Coin-Operated),2346686.74,AL
,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,2324100.06,AL
,221320,Sewage Treatment Facilities,2238208.67,AL
,115310,Support Activities for Forestry,2184581.78,AL
,112990,All Other Animal Production,2145404.0,AL
,541713,Research and Development in Nanotechnology,2140000.0,AL
,333120,Construction Machinery Manufacturing,2115696.14,AL
,423490,Other Professional Equipment and Supplies Merchant Wholesalers,2110407.3,AL
,485991,Special Needs Transportation,2083929.18,AL
,811213,Communication Equipment Repair and Maintenance,2027135.44,AL
,541612,Human Resources Consulting Services,2024894.52,AL
,335311,"Power, Distribution, and Specialty Transformer Manufacturing",2021428.86,AL
,561621,Security Systems Services (except Locksmiths),1972342.15,AL
,238290,Other Building Equipment Contractors,1954562.41,AL
,334519,Other Measuring and Controlling Device Manufacturing,1888043.19,AL
,333613,Mechanical Power Transmission Equipment Manufacturing,1830769.21,AL
,311999,All Other Miscellaneous Food Manufacturing,1796776.69,AL
,623990,Other Residential Care Facilities,1770718.14,AL
,425120,Wholesale Trade Agents and Brokers,1735353.78,AL
,333319,Other Commercial and Service Industry Machinery Manufacturing,1732950.83,AL
,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",1709355.32,AL
,621330,Offices of Mental Health Practitioners (except Physicians),1705265.49,AL
,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",1695236.32,AL
,923120,Administration of Public Health Programs,1682271.63,AL
,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,1638514.46,AL
,518111,Internet Service Providers,1636122.42,AL
,722320,Caterers,1629529.23,AL
,923110,Administration of Education Programs,1602860.31,AL
,237120,Oil and Gas Pipeline and Related Structures Construction,1598643.95,AL
,333519,Rolling Mill and Other Metalworking Machinery Manufacturing,1521501.39,AL
,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,1488921.63,AL
,511210,Software Publishers,1464324.87,AL
,334290,Other Communications Equipment Manufacturing,1432526.77,AL
,333618,Other Engine Equipment Manufacturing,1378223.81,AL
,221330,Steam and Air-Conditioning Supply,1362000.0,AL
,561320,Temporary Help Services,1353147.92,AL
,333911,Pump and Pumping Equipment Manufacturing,1299344.53,AL
,221210,Natural Gas Distribution,1266708.78,AL
,541430,Graphic Design Services,1251892.44,AL
,621420,Outpatient Mental Health and Substance Abuse Centers,1232702.0,AL
,337212,Custom Architectural Woodwork and Millwork Manufacturing,1230035.0,AL
,812332,Industrial Launderers,1146370.47,AL
,621512,Diagnostic Imaging Centers,995115.57,AL
,332313,Plate Work Manufacturing,977040.75,AL
,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,940980.81,AL
,325412,Pharmaceutical Preparation Manufacturing,939793.48,AL
,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",908502.09,AL
,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,904482.0,AL
,621112,"Offices of Physicians, Mental Health Specialists",871530.84,AL
,624221,Temporary Shelters,870525.0,AL
,331110,Iron and Steel Mills and Ferroalloy Manufacturing,869798.72,AL
,339920,Sporting and Athletic Goods Manufacturing,868591.39,AL
,484220,"Specialized Freight (except Used Goods) Trucking, Local",849586.72,AL
,311511,Fluid Milk Manufacturing,819373.82,AL
,339114,Dental Equipment and Supplies Manufacturing,775403.16,AL
,334310,Audio and Video Equipment Manufacturing,775138.45,AL
,491110,Postal Service,773532.33,AL
,621511,Medical Laboratories,773279.22,AL
,561611,Investigation Services,770908.88,AL
,562991,Septic Tank and Related Services,761209.85,AL
,336412,Aircraft Engine and Engine Parts Manufacturing,751986.01,AL
,332996,Fabricated Pipe and Pipe Fitting Manufacturing,749783.05,AL
,333921,Elevator and Moving Stairway Manufacturing,733420.29,AL
,488119,Other Airport Operations,722041.0,AL
,561710,Exterminating and Pest Control Services,721844.57,AL
,332991,Ball and Roller Bearing Manufacturing,703168.97,AL
,213112,Support Activities for Oil and Gas Operations,694555.0,AL
,339991,"Gasket, Packing, and Sealing Device Manufacturing",691376.5,AL
,211111,Crude Petroleum and Natural Gas Extraction,687806.67,AL
,561510,Travel Agencies,675209.41,AL
,623220,Residential Mental Health and Substance Abuse Facilities,674801.0,AL
,519130,Internet Publishing and Broadcasting and Web Search Portals,673456.0,AL
,812930,Parking Lots and Garages,671728.25,AL
,624229,Other Community Housing Services,649163.93,AL
,561421,Telephone Answering Services,638688.56,AL
,517210,Wireless Telecommunications Carriers (except Satellite),636338.07,AL
,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",633700.04,AL
,332911,Industrial Valve Manufacturing,631695.52,AL
,541219,Other Accounting Services,595086.78,AL
,336214,Travel Trailer and Camper Manufacturing,592764.1,AL
,332420,Metal Tank (Heavy Gauge) Manufacturing,588609.13,AL
,541211,Offices of Certified Public Accountants,586927.19,AL
,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",583170.32,AL
,561492,Court Reporting and Stenotype Services,576589.31,AL
,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,546432.14,AL
,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",543544.63,AL
,332439,Other Metal Container Manufacturing,529895.23,AL
,334412,Bare Printed Circuit Board Manufacturing,526351.28,AL
,336340,Motor Vehicle Brake System Manufacturing,509299.41,AL
,332216,Saw Blade and Handtool Manufacturing,507683.9,AL
,488210,Support Activities for Rail Transportation,507587.6,AL
,519190,All Other Information Services,506062.94,AL
,332613,Spring Manufacturing,505721.08,AL
,238110,Poured Concrete Foundation and Structure Contractors,503796.0,AL
,311612,Meat Processed from Carcasses,497021.1,AL
,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",487491.87,AL
,333241,Food Product Machinery Manufacturing,468716.61,AL
,238330,Flooring Contractors,460054.0,AL
,327331,Concrete Block and Brick Manufacturing,457960.83,AL
,484210,Used Household and Office Goods Moving,445975.21,AL
,333611,Turbine and Turbine Generator Set Units Manufacturing,444924.55,AL
,541350,Building Inspection Services,443554.53,AL
,541910,Marketing Research and Public Opinion Polling,434494.0,AL
,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",429770.0,AL
,332321,Metal Window and Door Manufacturing,426847.14,AL
,811111,General Automotive Repair,416962.18,AL
,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",394719.6,AL
,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,393037.95,AL
,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),389875.04,AL
,561790,Other Services to Buildings and Dwellings,388340.2,AL
