State,Year,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census),Total Funding Received
Alaska,2016,2735,1215,128162,330510,252835,38613,3159,127811,67489,0,4397,259273,361965,4232,16879,798,17800,15324,18069,1651266.0
Alabama,2016,3168,45321,17166,390929,3428981,25946,4673,800211,207162,63845,3182,5349339,388998,180093,86530,589,22735,20711,5942,11045521.0
Arkansas,2016,5410,2377,4428,126049,203265,7175,638,12421,42124,429,997,313414,135349,11471,34292,357,7209,4279,1541,913225.0
Arizona,2016,12879,3187,40813,400253,7808313,33806,8235,79849,178973,21799,17351,2222411,253459,75023,1239659,709,22607,60288,34684,12514298.0
California,2016,91977,22920,100451,2724264,25705577,201815,62815,1146958,769461,3551763,82435,15704753,1957971,498187,1341915,3362,178597,314423,191799,54651443.0
Colorado,2016,21379,824,27480,435367,1686826,19638,36233,1477324,522930,4612,15434,4085736,557264,94763,1208601,1075,25286,37157,4480,10262409.0
Connecticut,2016,451,48,6312,100760,10771346,11481,1353,573801,7631,345,5512,1743727,36714,14531,33115,742,4137,7097,2236,13321339.0
Delaware,2016,377,0,1988,48205,71779,1727,219,54076,2470,164,929,45690,13408,12697,5647,162,874,3710,55,264177.0
Florida,2016,9971,967,90225,1257991,7940039,101524,10309,619831,572445,88303,44653,4122390,1070783,194076,414000,10108,37695,205813,7462,16798585.0
Georgia,2016,3528,23995,62254,874477,5844903,51174,9515,230969,150729,36507,79587,2600768,872895,107078,131228,14009,79390,61021,63631,11297658.0
Hawaii,2016,436,1156,19087,876729,330648,2966,2186,58629,46997,255,4147,489592,227285,41967,48139,2247,10826,21986,3939,2189217.0
Iowa,2016,1723,154,2336,63380,1210669,1057,4121,20281,2004,271,3166,333199,43971,25235,27544,183,1120,9473,2245,1752132.0
Idaho,2016,25595,399,2920,135838,538076,308860,5607,43607,1897,180,10006,1059973,599824,1542,18851,371,5034,8437,1320,2768337.0
Illinois,2016,983,1315,27024,563161,3731885,1043408,97220,70466,200943,99883,20206,2894867,175593,54035,117753,305,89540,57528,9625,9255740.0
Indiana,2016,858,472,7913,112965,2716407,14156,4099,66765,51614,123383,3915,749480,107539,23897,72094,92,4625,11398,790,4072462.0
Kansas,2016,7778,851,16546,180634,435830,7508,646,139714,8521,3179,8824,126722,111483,14789,33215,429,11981,6141,1496,1116287.0
Kentucky,2016,2359,1665,34359,298166,761829,7036,3082,177813,146318,4122548,4674,423750,1066021,62089,97524,758,13617,17013,6006,7246627.0
Louisiana,2016,5056,2441,17992,736063,1051403,16307,5865,172206,37723,1712,16947,359254,482410,33997,45355,333,8477,7764,2018,3003323.0
Massachusetts,2016,6527,1101,34010,289598,6938011,313330,23396,144527,139970,171362,9757,4116952,244302,114748,265897,20676,4228,175643,6595,13020630.0
Maryland,2016,11163,1068,188699,1447729,5064487,204785,251789,328758,2081446,444506,115333,17994215,1593078,163880,392827,13210,28865,248290,62978,30637106.0
Maine,2016,444,25,7978,206478,1193094,189,898,2364,6680,334148,2406,146270,26240,14305,11755,16,405,1404,1001,1956100.0
Michigan,2016,2455,1518,6134,228109,4006807,23870,8438,38727,31004,9949,8793,928504,166933,20392,62755,531,1806,25462,4812,5576999.0
Minnesota,2016,4275,74,3191,100834,1555891,20598,4416,10797,40697,3176851,769,222462,59543,29878,99380,103,1862,20824,3445,5355890.0
Missouri,2016,2529,3660,47345,321623,8407280,53993,20042,22853,43229,690835,20388,867314,1131389,38990,84424,258,43574,37075,4162,11840963.0
Mississippi,2016,3209,5819,17776,243080,3603948,7995,3555,627723,32846,204,32895,533207,338634,28553,55828,237,16125,17691,1149,5570474.0
Montana,2016,13975,1805,2805,121860,83955,4637,3004,85916,8847,5861,5144,67693,52985,2429,20261,160,11350,6722,3901,503310.0
