State,State Expenditure (in thousands),Utilities,Health and Social Services Expenditure,Education Related Expenditure,Public Administration Expenditure,Transportation Expenditure,State Total as % of US Total,Utilities (State as % of US),Utilities (% of Total Expenditure),Health and Social Services Expenditure (State as % of US),Health and Social Services Expenditure (% of Total Expenditure),Education Related Expenditure (State as % of US),Education Related Expenditure (% of Total Expenditure),Public Administration Expenditure (State as % of US),Public Administration Expenditure (% of Total Expenditure),Transportation Expenditure (State as % of US),Transportation Expenditure (% of Total Expenditure)
Alaska,14934777,646902,3457464,3211211,3211211,1858966,0.375080861207236,0.2603481101443847,4.331514290437681,0.3216046060889402,23.15042266784432,0.2905421518520539,21.501566444547514,0.2905421518520539,21.501566444547514,0.7646558936595688,12.447229710895582
Alabama,50276684,3304057,15239978,15190516,15190516,2997669,1.2626785075775864,1.3297299989168763,6.5717480492548,1.417584426473888,30.31221788612789,1.374399005977201,30.21383828734608,1.374399005977201,30.21383828734608,1.2330431369323516,5.962344294623727
Arkansas,28820946,1015905,9512985,9008540,9008540,1838745,0.723826358203222,0.4088547366312534,3.5248842976909915,0.8848739404531751,33.007192060940675,0.8150696409065931,31.25691988042308,0.8150696409065931,31.25691988042308,0.7563383091390934,6.379891208289972
Arizona,66574868,6235165,17673584,18997683,18997683,3648218,1.6720007820805132,2.5093652890057725,9.365643804205515,1.6439523363077087,26.546930592487243,1.7188617312980004,28.535817750325844,1.7188617312980004,28.535817750325844,1.500636049855094,5.479872675076127
California,644170159,48702784,198266425,153380073,153380073,28203604,16.178072026232606,19.60061612604409,7.560546436302711,18.44224423241642,30.778579577139336,13.87743641281906,23.81049026519715,13.87743641281906,23.81049026519715,11.601100838337327,4.378284775529318
Colorado,66637771,4392199,13603197,19203973,19203973,4098284,1.6735805653884606,1.7676567842239723,6.591155337413672,1.2653351742014531,20.413643487565032,1.7375263224773279,28.81845042505999,1.7375263224773279,28.81845042505999,1.6857634913660133,6.1500916649808115
Connecticut,43162921,1433134,6565050,13918958,13918958,2213520,1.0840192378433164,0.5767700957543223,3.3202896532419577,0.610664440527565,15.209929837695647,1.2593516928219168,32.247488533039736,1.2593516928219168,32.247488533039736,0.9104960035489239,5.128290552903034
Delaware,12800960,586490,3269153,4357245,4357245,873350,0.32149091352883136,0.23603507659364195,4.5816095042871785,0.30408839045308267,25.538342436817242,0.3942323747790483,34.038423680723945,0.3942323747790483,34.038423680723945,0.3592385362226014,6.8225351848611355
Florida,199037235,12872091,46833591,47864447,47864447,15509906,4.998739352861246,5.180420783142643,6.467177360055268,4.356342852820893,23.53006511570561,4.330652650538561,24.047986297639234,4.330652650538561,24.047986297639234,6.379751449464869,7.792464560713978
Georgia,92409026,6363099,20934062,30953861,30953861,5795658,2.320815172225328,2.560852801987973,6.885798147033818,1.9472338000775864,22.65369835193372,2.800626113659105,33.496577488004256,2.800626113659105,33.496577488004256,2.3839511036432235,6.2717444938766045
Hawaii,18773523,1257254,4126557,4010348,4010348,1757785,0.471489408561899,0.5059865371748242,6.696952937389536,0.38384195424408146,21.980727858058394,0.36284602213793504,21.361723103330153,0.36284602213793504,21.361723103330153,0.7230367096742949,9.36310675412388
Iowa,37440549,1314006,11247343,11416861,11416861,3190189,0.9403041882039295,0.5288265901456207,3.5095799476658316,1.0461995598687939,30.04053973674371,1.0329683606389588,30.493305533527298,1.0329683606389588,30.493305533527298,1.3122331558177645,8.520679010342503
Idaho,15323956,242312,4059690,4087009,4087009,1289624,0.38485493379524793,0.09751936346665513,1.581262697439225,0.3776221540681869,26.492440985865528,0.3697821131961465,26.670717404826792,0.3697821131961465,26.670717404826792,0.5304661796960395,8.415738077034415
Illinois,154526135,8112886,30437863,40472542,40472542,9296432,3.8808611467600493,3.265061072491407,5.250170788261804,2.831253467947642,19.69755019110521,3.6618520064868454,26.191389566561025,3.6618520064868454,26.191389566561025,3.823938425342589,6.0160904173264935
Indiana,64808133,2699174,21387918,19749576,19749576,3723037,1.627629949805952,1.0862925912284385,4.164869245654708,1.989450343793183,33.00190425173952,1.7868910853898043,30.4739159821191,1.7868910853898043,30.4739159821191,1.5314116473150343,5.7447064552839375
Kansas,31658482,1550785,9177569,10473377,10473377,1740917,0.7950899228742269,0.6241191772328104,4.898481866565807,0.8536743876723139,28.989289505415954,0.9476043432642104,33.082372679776626,0.9476043432642104,33.082372679776626,0.7160983280071478,5.499053934424272
Kentucky,46889721,2098420,15450377,12990194,12990194,2622284,1.1776163068552694,0.8445169149101095,4.4752238982185455,1.4371552123205396,32.95045624178485,1.1753195033698003,27.703713570827176,1.1753195033698003,27.703713570827176,1.078634528791376,5.592449569064401
Louisiana,50951953,1331784,16594808,12910261,12910261,3141587,1.2796376143701784,0.5359814122085403,2.613803635750724,1.5436073058061035,32.569522899347945,1.1680873701266126,25.338108236989466,1.1680873701266126,25.338108236989466,1.2922415014552626,6.165783282144258
Massachusetts,98926618,6596352,28387148,24445551,24445551,4071580,2.484501849325186,2.654726337292406,6.667924299201252,2.6405011159996015,28.69515664631333,2.2117708835542502,24.710792195483727,2.2117708835542502,24.710792195483727,1.6747792286176442,4.1157578034255655
Maryland,75576725,3687578,16226605,22442903,22442903,4208381,1.8980787661056098,1.4840794483708655,4.879250854016233,1.509357988741409,21.47037331929903,2.0305764184997237,29.69552200098641,2.0305764184997237,29.69552200098641,1.731050129165864,5.568355866174408
Maine,13956535,207421,4113411,3891726,3891726,1032873,0.35051271051914146,0.08347735105821037,1.4861926688823552,0.38261914638501326,29.473010313806398,0.35211340720325957,27.884614626768034,0.35211340720325957,27.884614626768034,0.4248557675889929,7.400640631790053
Michigan,108805256,4113670,29336610,33515062,33515062,5884168,2.732599832214018,1.6555617547289248,3.780764046913322,2.7288176834335407,26.962493429545354,3.032357024479239,30.80279687959192,3.032357024479239,30.80279687959192,2.420358274698428,5.407981393840018
Minnesota,72049460,3131856,20537072,19998207,19998207,5712913,1.8094929376124131,1.2604270675378217,4.3468139802852095,1.910306788669442,28.50413035711857,1.8093865818729467,27.756220518516027,1.8093865818729467,27.756220518516027,2.3499152730143362,7.9291545002557955
Missouri,59324962,2793309,17263755,16387586,16387586,2973389,1.4899223361719127,1.1241775712539162,4.7084884774136055,1.6058310734084207,29.100322053303636,1.482706835552255,27.623424352130222,1.482706835552255,27.623424352130222,1.223055947764796,5.012036923007216
Mississippi,30790564,910273,10972706,8378348,8378348,1878078,0.7732925146573342,0.3663427462976764,2.9563375324985928,1.0206535168145643,35.636586585422734,0.7580514817884443,27.210764960330053,0.7580514817884443,27.210764960330053,0.7725173087901422,6.099524516666859
Montana,11306160,248875,2913092,3063257,3063257,1043338,0.2839496183804287,0.10016066716779935,2.201233663772669,0.2709684916924205,25.765529587410757,0.27715565263567765,27.093699363886593,0.27715565263567765,27.093699363886593,0.42916037774708476,9.228049134277244
North Carolina,102440597,4756550,32542686,29464285,29464285,7607610,2.5727540053221682,1.9142911960502096,4.643227528242538,3.0270388099792416,31.767372460744248,2.6658530899035267,28.762312855322385,2.6658530899035267,28.762312855322385,3.1292685413092394,7.426362421530987
