id,code,name,amount,State
,561210,Facilities Support Services,879231493.55,AK
,236220,Commercial and Institutional Building Construction,519896704.33,AK
,561612,Security Guards and Patrol Services,323100426.55,AK
,541330,Engineering Services,256774363.16,AK
,562910,Remediation Services,153671072.82,AK
,324110,Petroleum Refineries,145183280.93,AK
,221112,Fossil Fuel Electric Power Generation,143364202.39,AK
,611519,Other Technical and Trade Schools,138758016.74,AK
,236210,Industrial Building Construction,134761515.08,AK
,488190,Other Support Activities for Air Transportation,112022567.15,AK
,541519,Other Computer Related Services,99333020.27,AK
,541611,Administrative Management and General Management Consulting Services,95458085.78,AK
,561621,Security Systems Services (except Locksmiths),91066126.46,AK
,541614,"Process, Physical Distribution, and Logistics Consulting Services",60869022.66,AK
,337127,Institutional Furniture Manufacturing,60770266.54,AK
,541511,Custom Computer Programming Services,59969237.03,AK
,541512,Computer Systems Design Services,59764030.2,AK
,541990,"All Other Professional, Scientific, and Technical Services",52171579.74,AK
,237990,Other Heavy and Civil Engineering Construction,51116046.56,AK
,237310,"Highway, Street, and Bridge Construction",43429734.18,AK
,561720,Janitorial Services,38695870.76,AK
,541513,Computer Facilities Management Services,33188967.39,AK
,561990,All Other Support Services,31252343.75,AK
,493110,General Warehousing and Storage,28142069.26,AK
,561110,Office Administrative Services,27886445.13,AK
,237130,Power and Communication Line and Related Structures Construction,27268123.54,AK
,561320,Temporary Help Services,27204706.97,AK
,238220,"Plumbing, Heating, and Air-Conditioning Contractors",26882514.31,AK
,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",25356577.01,AK
,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",25203439.03,AK
,423520,Coal and Other Mineral and Ore Merchant Wholesalers,22754987.03,AK
,315990,Apparel Accessories and Other Apparel Manufacturing,22209945.21,AK
,237120,Oil and Gas Pipeline and Related Structures Construction,22106776.02,AK
,238160,Roofing Contractors,21659733.44,AK
,481211,Nonscheduled Chartered Passenger Air Transportation,21226069.28,AK
,237110,Water and Sewer Line and Related Structures Construction,21113852.45,AK
,238910,Site Preparation Contractors,20158780.22,AK
,336411,Aircraft Manufacturing,18917265.5,AK
,493190,Other Warehousing and Storage,18835211.71,AK
,541690,Other Scientific and Technical Consulting Services,17970813.95,AK
,518210,"Data Processing, Hosting, and Related Services",14572922.89,AK
,238210,Electrical Contractors and Other Wiring Installation Contractors,13374963.36,AK
,541310,Architectural Services,13276576.94,AK
,561730,Landscaping Services,12070127.27,AK
,336412,Aircraft Engine and Engine Parts Manufacturing,11928394.45,AK
,483111,Deep Sea Freight Transportation,11892806.78,AK
,221210,Natural Gas Distribution,11416621.04,AK
,611699,All Other Miscellaneous Schools and Instruction,11228272.79,AK
,722310,Food Service Contractors,10119839.89,AK
,517110,Wired Telecommunications Carriers,10086804.63,AK
,488310,Port and Harbor Operations,9480361.45,AK
,336611,Ship Building and Repairing,9117928.49,AK
,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",9099948.87,AK
,541612,Human Resources Consulting Services,9039814.67,AK
,211111,Crude Petroleum and Natural Gas Extraction,8177413.47,AK
,811219,Other Electronic and Precision Equipment Repair and Maintenance,8073920.59,AK
,423210,Furniture Merchant Wholesalers,7762274.0,AK
,335311,"Power, Distribution, and Specialty Transformer Manufacturing",7648197.33,AK
,562211,Hazardous Waste Treatment and Disposal,7458581.24,AK
,541620,Environmental Consulting Services,7376902.92,AK
,562212,Solid Waste Landfill,7304564.3,AK
,611430,Professional and Management Development Training,7118977.67,AK
,624120,Services for the Elderly and Persons with Disabilities,6999972.0,AK
,481212,Nonscheduled Chartered Freight Air Transportation,6957744.42,AK
,622110,General Medical and Surgical Hospitals,6858162.32,AK
,611420,Computer Training,6600663.96,AK
,541370,Surveying and Mapping (except Geophysical) Services,5757499.78,AK
,238390,Other Building Finishing Contractors,5750455.92,AK
,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5387788.55,AK
,334419,Other Electronic Component Manufacturing,5194370.49,AK
,721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",4958507.61,AK
,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,4948877.25,AK
,561499,All Other Business Support Services,4907020.97,AK
,611692,Automobile Driving Schools,4803738.96,AK
,561330,Professional Employer Organizations,4510279.02,AK
,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,4100275.26,AK
,621330,Offices of Mental Health Practitioners (except Physicians),3967981.68,AK
,561599,All Other Travel Arrangement and Reservation Services,3871397.15,AK
,221310,Water Supply and Irrigation Systems,3852495.47,AK
,517919,All Other Telecommunications,3655316.28,AK
,221119,Other Electric Power Generation,3506187.97,AK
,337214,Office Furniture (except Wood) Manufacturing,3494764.06,AK
,115310,Support Activities for Forestry,3472902.14,AK
,517410,Satellite Telecommunications,3391935.86,AK
,532112,Passenger Car Leasing,3022397.99,AK
,337125,Household Furniture (except Wood and Metal) Manufacturing,2723651.26,AK
,488119,Other Airport Operations,2639280.18,AK
,238190,"Other Foundation, Structure, and Building Exterior Contractors",2436817.22,AK
,236118,Residential Remodelers,2324550.13,AK
,522390,Other Activities Related to Credit Intermediation,2185044.7,AK
,221320,Sewage Treatment Facilities,1837557.22,AK
,611710,Educational Support Services,1726719.86,AK
,238990,All Other Specialty Trade Contractors,1692146.87,AK
,485410,School and Employee Bus Transportation,1623534.45,AK
,923120,Administration of Public Health Programs,1611668.93,AK
,517311,Wired Telecommunications Carriers,1512743.67,AK
,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",1484562.79,AK
,517911,Telecommunications Resellers,1371926.52,AK
,532291,Home Health Equipment Rental,1371669.37,AK
,811213,Communication Equipment Repair and Maintenance,1255757.73,AK
,562111,Solid Waste Collection,1239486.6,AK
,721110,Hotels (except Casino Hotels) and Motels,1238460.81,AK
,337211,Wood Office Furniture Manufacturing,1213157.21,AK
,336612,Boat Building,1155473.72,AK
,561422,Telemarketing Bureaus and Other Contact Centers,1153406.9,AK
,562991,Septic Tank and Related Services,1087164.83,AK
,333120,Construction Machinery Manufacturing,1065134.67,AK
,236115,New Single-Family Housing Construction (except For-Sale Builders),1025848.0,AK
,531320,Offices of Real Estate Appraisers,1005587.5,AK
,238290,Other Building Equipment Contractors,976787.71,AK
,561611,Investigation Services,901398.38,AK
,332311,Prefabricated Metal Building and Component Manufacturing,816936.8,AK
,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,816791.0,AK
,238330,Flooring Contractors,812349.74,AK
,561790,Other Services to Buildings and Dwellings,724633.61,AK
,541720,Research and Development in the Social Sciences and Humanities,724451.84,AK
,481112,Scheduled Freight Air Transportation,724111.1,AK
,541199,All Other Legal Services,721259.89,AK
,339113,Surgical Appliance and Supplies Manufacturing,714753.53,AK
,484210,Used Household and Office Goods Moving,692638.66,AK
,713930,Marinas,659434.13,AK
,238350,Finish Carpentry Contractors,624983.96,AK
,334290,Other Communications Equipment Manufacturing,616493.18,AK
,621511,Medical Laboratories,605624.04,AK
,334310,Audio and Video Equipment Manufacturing,605467.64,AK
,621492,Kidney Dialysis Centers,600030.81,AK
,221122,Electric Power Distribution,557402.52,AK
,212321,Construction Sand and Gravel Mining,552057.34,AK
,213112,Support Activities for Oil and Gas Operations,542259.05,AK
,562112,Hazardous Waste Collection,538135.06,AK
,541618,Other Management Consulting Services,515438.45,AK
,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",512970.24,AK
,541320,Landscape Architectural Services,512129.75,AK
,488320,Marine Cargo Handling,510198.93,AK
,562119,Other Waste Collection,502642.84,AK
,517210,Wireless Telecommunications Carriers (except Satellite),477519.36,AK
,488390,Other Support Activities for Water Transportation,467747.72,AK
,811212,Computer and Office Machine Repair and Maintenance,460663.74,AK
,332439,Other Metal Container Manufacturing,427729.7,AK
,339999,All Other Miscellaneous Manufacturing,420770.41,AK
,488330,Navigational Services to Shipping,416925.0,AK
,812320,Drycleaning and Laundry Services (except Coin-Operated),416271.5,AK
,334112,Computer Storage Device Manufacturing,401919.15,AK
,336112,Light Truck and Utility Vehicle Manufacturing,400687.88,AK
