Description,United States Total,,,,,Alabama,,,,,Alaska,,,,,Arizona,,,,,Arkansas,,,,,California,,,,,Colorado,,,,,Connecticut,,,,,Delaware,,,,,District of Columbia,,,,,Florida,,,,,Georgia,,,,,Hawaii,,,,,Idaho,,,,,Illinois,,,,,Indiana,,,,,Iowa,,,,,Kansas,,,,,Kentucky,,,,,Louisiana,,,,,Maine,,,,,Maryland,,,,,Massachusetts,,,,,Michigan,,,,,Minnesota,,,,,Mississippi,,,,,Missouri,,,,,Montana,,,,,Nebraska,,,,,Nevada,,,,,New Hampshire,,,,,New Jersey,,,,,New Mexico,,,,,New York,,,,,North Carolina,,,,,North Dakota,,,,,Ohio,,,,,Oklahoma,,,,,Oregon,,,,,Pennsylvania,,,,,Rhode Island,,,,,South Carolina,,,,,South Dakota,,,,,Tennessee,,,,,Texas,,,,,Utah,,,,,Vermont,,,,,Virginia,,,,,Washington,,,,,West Virginia,,,,,Wisconsin,,,,,Wyoming,,,,
,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local
,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government
,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV
,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
Description,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130
            Revenue1,"4,099,940,468",0.06,"2,644,144,501","2,014,585,391",0.13,"51,536,325",0.20,"34,805,005","23,090,888",0.47,"13,787,654",0.07,"9,951,618","5,560,631",0.29,"68,945,106",0.10,"46,586,273","31,351,288",0.23,"31,613,160",0.16,"25,974,887","10,748,147",0.48,"658,759,284",0.31,"413,378,338","359,545,281",0.57,"70,652,773",0.40,"42,897,325","34,888,770",0.82,"49,846,252",0.40,"34,435,924","20,541,415",0.98,"12,597,776",0.00,"10,353,601","3,893,656",0.01,"15,950,556",0.00,0,"16,138,430",0.00,"199,918,774",0.33,"110,235,411","111,736,583",0.59,"94,999,595",0.28,"56,818,507","50,878,207",0.52,"20,267,383",0.00,"16,349,640","4,572,402",0.00,"15,934,702",0.24,"11,945,670","6,471,972",0.59,"159,052,074",0.27,"95,207,940","84,381,599",0.54,"69,583,800",0.20,"47,742,399","33,785,782",0.50,"41,136,203",0.23,"28,845,620","17,915,930",0.55,"33,080,913",0.33,"21,868,830","16,461,707",0.67,"45,672,050",0.17,"34,698,119","15,565,486",0.51,"52,114,418",0.16,"35,991,918","21,891,410",0.39,"14,923,029",0.53,"10,903,125","5,461,746",1.46,"74,605,729",0.06,"47,904,918","35,178,306",0.13,"100,497,437",0.25,"69,637,949","40,594,794",0.62,"112,318,115",0.25,"80,865,472","50,981,414",0.59,"79,790,459",0.29,"58,135,163","34,360,022",0.69,"32,030,496",0.15,"23,421,200","13,144,467",0.44,"62,221,412",0.36,"40,077,516","28,928,219",0.78,"13,850,228",0.10,"10,973,652","4,168,343",0.33,"25,284,143",0.38,"12,459,859","15,367,186",0.64,"32,166,189",0.01,"21,809,991","16,848,382",0.02,"14,634,910",0.85,"9,738,272","6,793,475",1.83,"119,121,751",0.61,"80,517,723","51,084,368",1.44,"26,052,368",0.06,"20,821,133","9,254,843",0.18,"390,622,470",0.08,"223,944,597","220,193,901",0.15,"103,929,530",0.16,"67,351,338","51,350,306",0.44,"11,704,200",0.18,"8,893,210","4,648,052",0.49,"144,072,109",0.22,"101,239,204","60,059,107",0.56,"37,924,606",0.26,"26,925,342","14,923,757",0.67,"59,746,060",0.26,"43,743,853","23,560,859",0.68,"158,871,985",0.29,"108,417,348","74,218,070",0.63,"13,400,992",0.10,"9,593,946","5,168,250",0.26,"53,619,248",0.56,"35,105,231","24,800,964",1.21,"8,789,685",0.60,"5,606,158","4,074,870",1.29,"69,086,130",0.25,"41,105,714","35,807,171",0.63,"292,205,440",0.24,"171,555,684","156,556,937",0.45,"36,239,004",0.17,"25,400,334","14,528,073",0.44,"8,338,330",0.35,"7,018,461","3,353,639",1.99,"87,945,512",0.21,"57,468,757","43,980,465",0.53,"107,279,244",0.36,"67,970,057","54,603,731",0.70,"19,061,154",0.09,"15,346,309","5,492,217",0.33,"73,254,416",0.17,"54,498,748","30,601,247",0.46,"10,905,289",0.22,"7,607,212","5,078,628",0.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General revenue1,"3,299,408,728",0.07,"2,104,132,616","1,754,065,537",0.14,"41,987,676",0.22,"28,646,368","19,700,876",0.49,"11,518,277",0.08,"8,166,711","5,076,161",0.30,"54,266,509",0.12,"37,650,570","25,608,393",0.27,"26,173,023",0.18,"21,600,454","9,682,443",0.50,"503,939,256",0.37,"321,223,529","296,880,062",0.63,"55,069,228",0.44,"31,166,548","31,036,003",0.79,"43,332,935",0.13,"30,174,055","18,289,968",0.34,"10,801,009",0.00,"9,143,057","3,307,433",0.01,"13,474,032",0.00,0,"13,661,906",0.00,"165,535,126",0.22,"91,783,197","95,805,149",0.39,"76,539,204",0.18,"45,154,767","44,081,557",0.33,"17,761,907",0.00,"14,277,135","4,139,431",0.00,"12,873,189",0.29,"9,142,784","6,213,346",0.60,"127,169,425",0.31,"75,437,966","72,268,923",0.58,"61,847,103",0.21,"43,205,615","30,585,869",0.52,"35,155,558",0.26,"24,047,241","16,733,664",0.56,"28,319,535",0.33,"19,069,410","14,499,749",0.66,"38,465,638",0.16,"29,462,375","13,594,817",0.48,"43,585,200",0.12,"29,170,125","20,183,985",0.27,"12,758,237",0.61,"8,872,859","5,327,220",1.49,"64,761,319",0.05,"41,938,279","31,300,535",0.10,"81,889,108",0.25,"58,177,867","33,446,546",0.64,"91,314,079",0.28,"65,628,794","45,214,056",0.62,"62,843,259",0.35,"44,425,053","31,122,932",0.75,"26,926,748",0.13,"19,137,029","12,324,890",0.38,"49,004,189",0.37,"30,825,775","24,962,737",0.74,"9,710,574",0.12,"7,016,937","3,985,403",0.32,"18,322,615",0.50,"10,379,407","10,486,110",0.89,"25,055,993",0.01,"16,037,728","15,510,448",0.02,"12,293,689",1.01,"7,566,585","6,623,941",1.88,"103,533,971",0.70,"66,022,645","49,991,666",1.46,"22,063,417",0.07,"17,467,427","8,619,598",0.19,"313,652,172",0.10,"174,081,402","193,086,799",0.17,"87,742,487",0.17,"56,391,278","46,123,322",0.46,"10,197,488",0.19,"7,754,586","4,279,964",0.51,"108,294,347",0.28,"69,017,385","56,503,165",0.58,"31,372,163",0.24,"21,993,389","13,303,268",0.56,"46,116,071",0.29,"32,006,724","21,667,999",0.62,"130,602,692",0.20,"87,527,434","66,838,691",0.42,"11,473,102",0.05,"8,136,658","4,697,648",0.12,"44,243,882",0.16,"27,773,402","22,757,426",0.32,"7,107,370",0.74,"4,400,980","3,597,733",1.46,"48,949,777",0.29,"31,833,598","24,942,934",0.80,"238,071,138",0.26,"137,408,104","136,570,216",0.46,"28,875,641",0.19,"20,007,418","12,557,626",0.44,"7,425,664",0.38,"6,381,459","3,077,975",2.15,"78,268,304",0.23,"51,710,572","40,061,443",0.57,"81,937,475",0.45,"50,690,462","46,541,557",0.80,"16,558,011",0.09,"13,146,835","5,188,547",0.28,"51,578,540",0.23,"36,250,521","27,173,597",0.50,"8,651,374",0.23,"5,602,117","4,829,809",0.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intergovernmental revenue1,"740,368,813",0.04,"687,769,588","611,388,650",0.10,"11,546,327",0.32,"10,614,505","7,291,390",0.62,"3,704,892",0.10,"3,457,365","1,972,122",0.66,"16,629,310",0.04,"16,127,713","9,494,051",0.28,"8,107,612",0.10,"7,877,352","5,340,134",0.25,"112,335,138",0.16,"101,959,491","124,539,982",0.30,"10,388,474",0.58,"9,402,733","8,119,063",0.82,"7,771,305",0.24,"7,440,296","5,462,097",0.60,"2,631,385",0.00,"2,609,235","1,671,631",0.00,"3,860,043",0.00,0,"4,047,917",0.00,"31,914,694",0.12,"28,298,587","25,669,327",0.45,"16,434,364",0.17,"15,284,021","13,847,463",0.33,"3,210,729",0.00,"3,369,965","495,423",0.00,"2,956,434",0.16,"2,819,674","2,619,700",0.28,"25,368,556",0.29,"22,204,179","23,701,842",0.74,"15,386,798",0.07,"15,075,489","12,255,690",0.76,"6,462,436",0.14,"6,075,843","6,011,941",0.45,"4,335,543",0.40,"4,072,601","5,512,566",0.37,"12,449,393",0.11,"11,970,566","5,070,381",0.44,"14,042,024",0.05,"13,648,164","6,162,770",0.16,"3,145,357",0.12,"3,056,684","1,530,514",0.87,"14,062,783",0.04,"12,923,538","9,616,741",0.09,"18,084,823",0.16,"17,184,464","10,635,664",0.55,"22,800,181",0.18,"21,334,255","20,994,697",0.61,"12,708,012",0.28,"11,740,953","13,671,784",0.57,"8,625,196",0.23,"8,283,239","4,877,128",0.74,"12,478,497",0.25,"11,957,330","7,305,490",0.64,"3,359,240",0.07,"3,124,693","1,526,314",0.30,"3,555,142",0.53,"3,264,232","2,833,811",0.86,"5,772,441",0.02,"5,454,068","6,810,556",0.03,"2,503,027",0.12,"2,799,265","1,600,599",0.32,"18,061,334",0.07,"18,094,137","12,447,537",0.72,"7,725,479",0.05,"7,529,975","4,219,112",0.14,"70,516,457",0.03,"64,587,516","59,444,970",0.17,"20,541,594",0.14,"18,700,690","16,613,017",0.94,"1,938,313",0.48,"1,742,138","2,033,237",0.66,"26,120,696",0.25,"24,388,743","18,958,155",0.68,"7,387,664",0.17,"7,100,962","4,211,195",0.35,"11,306,693",0.28,"10,437,484","8,427,860",0.48,"32,019,996",0.08,"29,251,418","26,532,010",0.39,"2,963,497",0.11,"2,882,891","1,441,810",0.23,"10,087,997",0.21,"9,916,827","6,458,117",0.36,"1,664,519",0.26,"1,504,052","1,051,810",0.64,"12,607,623",0.28,"11,950,090","8,484,289",1.73,"48,512,845",0.20,"47,221,911","37,198,116",0.34,"5,334,510",0.40,"4,724,208","4,299,705",0.56,"2,170,422",0.16,"2,091,212","2,112,981",2.84,"11,555,211",0.21,"10,959,616","14,099,306",1.04,"15,753,883",0.36,"14,437,120","16,611,307",0.46,"5,077,947",0.09,"4,959,925","1,895,394",0.27,"9,882,048",0.16,"9,494,180","12,233,446",0.58,"2,509,931",0.14,"2,363,993","1,926,490",0.48
     From Federal Government,"740,368,813",0.04,"671,307,578","69,061,235",0.40,"11,546,327",0.32,"10,421,671","1,124,656",3.34,"3,704,892",0.10,"3,448,655","256,237",1.48,"16,629,310",0.04,"15,735,590","893,720",0.83,"8,107,612",0.10,"7,832,635","274,977",3.05,"112,335,138",0.16,"99,217,522","13,117,616",1.40,"10,388,474",0.58,"9,338,266","1,050,208",5.71,"7,771,305",0.24,"7,206,925","564,380",3.25,"2,631,385",0.00,"2,542,436","88,949",0.00,"3,860,043",0.00,0,"3,860,043",0.00,"31,914,694",0.12,"27,994,479","3,920,215",1.01,"16,434,364",0.17,"15,218,069","1,216,295",2.27,"3,210,729",0.00,"3,005,181","205,548",0.00,"2,956,434",0.16,"2,804,710","151,724",3.05,"25,368,556",0.29,"21,816,710","3,551,846",2.10,"15,386,798",0.07,"14,994,627","392,171",2.89,"6,462,436",0.14,"6,030,784","431,652",2.16,"4,335,543",0.40,"4,029,932","305,611",5.68,"12,449,393",0.11,"11,928,331","521,062",2.52,"14,042,024",0.05,"13,179,225","862,799",0.74,"3,145,357",0.12,"3,019,498","125,859",3.03,"14,062,783",0.04,"12,747,119","1,315,664",0.40,"18,084,823",0.16,"16,538,810","1,546,013",1.89,"22,800,181",0.18,"21,176,531","1,623,650",2.48,"12,708,012",0.28,"11,547,529","1,160,483",3.03,"8,625,196",0.23,"8,163,823","461,373",4.22,"12,478,497",0.25,"11,742,639","735,858",4.19,"3,359,240",0.07,"3,119,450","239,790",0.97,"3,555,142",0.53,"3,231,492","323,650",5.80,"5,772,441",0.02,"5,258,544","513,897",0.22,"2,503,027",0.12,"2,393,791","109,236",2.76,"18,061,334",0.07,"17,227,973","833,361",1.42,"7,725,479",0.05,"7,292,318","433,161",0.81,"70,516,457",0.03,"63,271,908","7,244,549",0.28,"20,541,594",0.14,"18,527,905","2,013,689",1.43,"1,938,313",0.48,"1,694,899","243,414",3.80,"26,120,696",0.25,"23,764,912","2,355,784",2.75,"7,387,664",0.17,"6,945,621","442,043",2.87,"11,306,693",0.28,"10,405,705","900,988",3.52,"32,019,996",0.08,"29,188,234","2,831,762",0.94,"2,963,497",0.11,"2,803,754","159,743",1.98,"10,087,997",0.21,"9,633,306","454,691",4.67,"1,664,519",0.26,"1,471,658","192,861",2.27,"12,607,623",0.28,"11,842,061","765,562",4.54,"48,512,845",0.20,"43,967,109","4,545,736",2.16,"5,334,510",0.40,"4,721,316","613,194",3.45,"2,170,422",0.16,"2,089,472","80,950",4.20,"11,555,211",0.21,"10,174,757","1,380,454",1.78,"15,753,883",0.36,"14,089,162","1,664,721",3.37,"5,077,947",0.09,"4,867,664","210,283",2.09,"9,882,048",0.16,"9,286,777","595,271",2.70,"2,509,931",0.14,"2,356,093","153,838",2.23
