id,code,name,amount,State
,236220,Commercial and Institutional Building Construction,540299281.93,AK
,561210,Facilities Support Services,177885764.12,AK
,324110,Petroleum Refineries,177662243.55,AK
,237990,Other Heavy and Civil Engineering Construction,137817753.82,AK
,541330,Engineering Services,136970947.09,AK
,221112,Fossil Fuel Electric Power Generation,115224560.47,AK
,562910,Remediation Services,112420627.8,AK
,561612,Security Guards and Patrol Services,87733643.44,AK
,237110,Water and Sewer Line and Related Structures Construction,82671146.16,AK
,541512,Computer Systems Design Services,50051709.31,AK
,481211,Nonscheduled Chartered Passenger Air Transportation,39327498.43,AK
,517919,All Other Telecommunications,39049774.24,AK
,211111,Crude Petroleum and Natural Gas Extraction,37344980.8,AK
,493190,Other Warehousing and Storage,32372440.87,AK
,541519,Other Computer Related Services,29621553.98,AK
,237310,"Highway, Street, and Bridge Construction",28174362.36,AK
,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",24562795.12,AK
,483111,Deep Sea Freight Transportation,22319930.09,AK
,238210,Electrical Contractors and Other Wiring Installation Contractors,20758034.43,AK
,541990,"All Other Professional, Scientific, and Technical Services",19685090.24,AK
,541511,Custom Computer Programming Services,17663647.61,AK
,213112,Support Activities for Oil and Gas Operations,16602351.15,AK
,311710,Seafood Product Preparation and Packaging,16587596.31,AK
,541513,Computer Facilities Management Services,16242761.57,AK
,334111,Electronic Computer Manufacturing,15010240.75,AK
,221210,Natural Gas Distribution,14960243.62,AK
,561720,Janitorial Services,13518962.2,AK
,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",13470175.13,AK
,541620,Environmental Consulting Services,13342452.22,AK
,722310,Food Service Contractors,11560867.87,AK
,622110,General Medical and Surgical Hospitals,11451843.05,AK
,561730,Landscaping Services,8982631.78,AK
,541611,Administrative Management and General Management Consulting Services,8695032.95,AK
,611519,Other Technical and Trade Schools,8678866.7,AK
,334516,Analytical Laboratory Instrument Manufacturing,7865595.64,AK
,517110,Wired Telecommunications Carriers,7250180.12,AK
,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",7082121.99,AK
,561621,Security Systems Services (except Locksmiths),7048753.95,AK
,541370,Surveying and Mapping (except Geophysical) Services,6799937.74,AK
,811219,Other Electronic and Precision Equipment Repair and Maintenance,6270012.68,AK
,623110,Nursing Care Facilities (Skilled Nursing Facilities),5701125.29,AK
,517910,Other Telecommunications,5631878.89,AK
,561990,All Other Support Services,5553943.88,AK
,624120,Services for the Elderly and Persons with Disabilities,5284025.15,AK
,488310,Port and Harbor Operations,5156943.53,AK
,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,5122524.56,AK
,336611,Ship Building and Repairing,5052241.75,AK
,238220,"Plumbing, Heating, and Air-Conditioning Contractors",4897345.46,AK
,541310,Architectural Services,4864725.66,AK
,541930,Translation and Interpretation Services,4755418.66,AK
,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,4708167.17,AK
,483114,Coastal and Great Lakes Passenger Transportation,4619773.16,AK
,561320,Temporary Help Services,4591510.33,AK
,488190,Other Support Activities for Air Transportation,4485876.97,AK
,336111,Automobile Manufacturing,4420551.92,AK
,238910,Site Preparation Contractors,4311099.05,AK
,237120,Oil and Gas Pipeline and Related Structures Construction,3837486.29,AK
,621999,All Other Miscellaneous Ambulatory Health Care Services,3624244.59,AK
,541690,Other Scientific and Technical Consulting Services,3599972.87,AK
,485410,School and Employee Bus Transportation,3559779.43,AK
,221119,Other Electric Power Generation,3548812.78,AK
,721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",3528727.64,AK
,562998,All Other Miscellaneous Waste Management Services,3491833.42,AK
,621910,Ambulance Services,3448990.05,AK
,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,3416540.99,AK
,237130,Power and Communication Line and Related Structures Construction,3222101.99,AK
,562211,Hazardous Waste Treatment and Disposal,3163729.02,AK
,333120,Construction Machinery Manufacturing,3091175.57,AK
,334290,Other Communications Equipment Manufacturing,2996807.22,AK
,221320,Sewage Treatment Facilities,2964126.38,AK
,334210,Telephone Apparatus Manufacturing,2764896.41,AK
,335312,Motor and Generator Manufacturing,2517583.65,AK
,238290,Other Building Equipment Contractors,2512625.78,AK
,488119,Other Airport Operations,2422087.01,AK
,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2414415.44,AK
,315990,Apparel Accessories and Other Apparel Manufacturing,2364208.74,AK
,484110,"General Freight Trucking, Local",2356910.0,AK
,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",2338489.9,AK
,238160,Roofing Contractors,2318168.63,AK
,562991,Septic Tank and Related Services,2313993.63,AK
,561790,Other Services to Buildings and Dwellings,2265789.65,AK
,562111,Solid Waste Collection,2113062.61,AK
,337214,Office Furniture (except Wood) Manufacturing,2082183.01,AK
,481212,Nonscheduled Chartered Freight Air Transportation,1994531.48,AK
,518210,"Data Processing, Hosting, and Related Services",1874930.23,AK
,562112,Hazardous Waste Collection,1810875.9,AK
,236118,Residential Remodelers,1795483.53,AK
,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",1760703.79,AK
,923120,Administration of Public Health Programs,1627394.31,AK
,511210,Software Publishers,1605025.18,AK
,336390,Other Motor Vehicle Parts Manufacturing,1455782.95,AK
,335311,"Power, Distribution, and Specialty Transformer Manufacturing",1443355.56,AK
,236210,Industrial Building Construction,1261364.64,AK
,517410,Satellite Telecommunications,1254337.64,AK
,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,1209705.8,AK
,811213,Communication Equipment Repair and Maintenance,1188246.06,AK
,541612,Human Resources Consulting Services,1165911.3,AK
,333318,Other Commercial and Service Industry Machinery Manufacturing,1092465.65,AK
,621511,Medical Laboratories,1058079.86,AK
,221118,Other Electric Power Generation,1034106.0,AK
,532283,Home Health Equipment Rental,978000.0,AK
,321992,Prefabricated Wood Building Manufacturing,939358.0,AK
,721110,Hotels (except Casino Hotels) and Motels,924166.51,AK
,541360,Geophysical Surveying and Mapping Services,904566.0,AK
,115310,Support Activities for Forestry,898723.41,AK
,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,894827.69,AK
,493110,General Warehousing and Storage,892481.62,AK
,811212,Computer and Office Machine Repair and Maintenance,855803.49,AK
,561499,All Other Business Support Services,851113.52,AK
,337211,Wood Office Furniture Manufacturing,841945.63,AK
,339113,Surgical Appliance and Supplies Manufacturing,840912.45,AK
,611430,Professional and Management Development Training,825578.66,AK
,336612,Boat Building,824189.22,AK
,623990,Other Residential Care Facilities,793518.0,AK
,334519,Other Measuring and Controlling Device Manufacturing,768905.73,AK
,811412,Appliance Repair and Maintenance,763924.88,AK
,517311,Wired Telecommunications Carriers,735784.09,AK
