State,Year,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census),Total Funding Received
Alaska,2016,1903,1113,130921,794961,329564,36870,1461,196447,43670,2925,3855,690418,1548613,95259,4881,835,15420,11627,18067,3928810.0
Alabama,2016,1596,722,14823,2095348,3346393,25984,2338,780644,61015,61101,1369,4716762,306918,59794,138749,231,22880,41792,5980,11684439.0
Arkansas,2016,6981,1000,6191,92776,197507,8634,947,12039,7467,0,279,54077,76086,2408,20052,37,1970,1983,1551,491985.0
Arizona,2016,8268,3185,45986,384629,7817763,20120,4497,203893,338460,21191,19330,1869968,154624,124279,1765247,1520,20181,54986,5927,12864054.0
California,2016,88626,39728,145398,3314496,27425444,206212,67805,1549911,732020,3565410,72426,17207529,3277144,480956,1546003,4794,67302,344504,187407,60323115.0
Colorado,2016,15203,1291,29679,668538,1726330,19846,1967,1513008,521310,2258,4667,4239965,1584954,107782,316136,1496,17727,185985,4954,10963096.0
Connecticut,2016,464,48,10651,124881,10917202,11754,1560,583939,8318,5193,21382,1821196,63041,7499,30201,737,8098,21909,2581,13640654.0
Delaware,2016,500,218,2444,18437,87028,1555,186,39792,1732,147581,603,32793,40569,9696,2751,234,3336,4981,236,394672.0
Florida,2016,16498,414,90855,1720860,7325214,106931,8641,771903,124531,94920,73479,4232774,1340658,273237,503050,12024,53154,229788,104514,17083445.0
Georgia,2016,3175,36732,66591,793561,5442779,44170,23483,491765,138848,34500,76620,1993670,447627,57467,117953,13126,79107,29673,17322,9908169.0
Hawaii,2016,347,1126,19053,447454,263037,1983,798,28406,27062,0,2389,309475,211852,2606,97146,2254,9198,9203,1214,1434603.0
Iowa,2016,4040,127,2434,79255,1224302,1276,5313,17232,2536,2073,1130,373481,44098,8716,21605,7674,1079,8362,2942,1807675.0
Idaho,2016,25347,1244,1774,200464,555006,307018,1004,40246,1121,28,11019,1140512,759898,1281,14551,92,3691,3051,2393,3069740.0
Illinois,2016,1236,277,8499,1230360,4236167,1068799,134292,108222,130194,48334,36617,3112323,330392,22705,87916,287,4593,75268,7965,10644446.0
Indiana,2016,1451,415,7912,100055,2861086,11986,1330,62937,41900,264664,1291,535729,83993,12226,106923,92,4183,21954,2675,4122802.0
Kansas,2016,6716,185,9966,263739,428331,6160,663,103684,3514,1904,7181,171034,105628,8299,25264,472,5680,4760,1713,1154893.0
Kentucky,2016,2443,1934,31672,305975,519638,7757,2677,186909,11243,4118944,4137,193224,876573,128922,112935,698,13393,8407,6341,6533822.0
Louisiana,2016,4657,18061,17721,634700,974001,5708,2693,241053,5861,1732,6100,138251,463027,11457,32894,230,8669,12278,2226,2581319.0
Massachusetts,2016,7313,391,25786,457460,7170742,322808,42150,109286,176828,176317,14937,5544052,234368,260087,356001,20742,5896,197358,12140,15134662.0
Maryland,2016,4981,1184,64978,1406614,4508647,200011,356115,580200,1230440,529562,90442,16520531,5289179,321106,304578,5478,290366,380139,33263,32117814.0
Maine,2016,948,25,7926,101437,1145026,457,30,811,576,333520,370,120521,22447,698,11626,21,27,1196,1186,1748848.0
Michigan,2016,3423,309,3612,303119,4289176,21844,17673,41000,39291,1509,42383,955431,191816,12336,61857,660,1897,30692,6634,6024662.0
Minnesota,2016,8381,37,4925,369995,1645782,22100,10126,33497,82368,3196829,977,496952,138981,22889,101209,277,2081,25305,4330,6167041.0
Missouri,2016,9232,3964,50597,715772,8712639,78158,4755,59768,42567,690622,30244,835939,1055779,80309,322343,162,40425,29422,4716,12767413.0
Mississippi,2016,3857,5174,9967,285802,3427579,3233,712,725721,900,400,33607,137640,45047,60233,71672,202,14262,6019,1405,4833432.0
Montana,2016,10828,1141,3115,234989,70676,2512,3531,107619,2319,29326,1603,67746,10544,2671,14851,159,10628,4305,4350,582913.0
North Carolina,2016,3355,2551,23510,418363,941410,103301,5109,631154,53751,55,8555,1422138,194637,61086,158616,1052,32168,58618,14853,4134282.0
North Dakota,2016,313,578,10495,71262,70416,11089,258,4460,2145,242120,939,10988,10304,447,12184,57,1056,4517,1071,454699.0
Nebraska,2016,2670,782,11165,67962,162107,3118,327,4132,14122,166424,7782,453440,87020,25689,19761,34,1323,7256,1049,1036163.0
New Hampshire,2016,72,20,1253,101707,970692,2682,440,3597,32289,6251,5350,528251,112586,19514,15503,654,1755,11078,1181,1814875.0
New Jersey,2016,394,14045,146871,596385,5067134,217730,7473,359445,231228,16286,33170,2250611,262928,202146,102397,554,5982,35672,5227,9555678.0
New Mexico,2016,11207,2102,4519,203113,113755,10378,2062,35575,11572,66,1417,806934,6993429,11624,20642,405,11911,5729,2113,8248553.0
Nevada,2016,7200,1143,3876,140222,729982,3295,725,224619,11450,0,2885,440192,169163,145972,26347,164,16759,12364,2986,1939344.0
New York,2016,1727,775,62772,878978,4596622,114930,37959,184098,139266,664974,11311,2864112,485320,212309,104685,5187,30190,106581,12694,10514490.0
Ohio,2016,2696,484,41336,351122,2172595,31851,10940,24271,144947,212,24536,2281488,575034,36375,146641,916,4510,110836,7323,5968113.0
Oklahoma,2016,17094,7032,37004,261435,1505299,14297,1372,675552,21557,3276,4938,850856,217334,40638,96288,1754,30068,7483,2283,3795560.0
Oregon,2016,104649,480,6100,145369,468088,12498,2845,162901,6754,1369,4101,159704,126650,17700,33379,414,7263,9184,4003,1273451.0
Pennsylvania,2016,7873,7913,64698,624399,7480538,1675999,22935,144145,593626,694917,47570,1630838,382623,32110,113232,2014,11613,49733,6482,13593258.0
Rhode Island,2016,575,12,18,16152,204675,1616,89,1162,7720,65,644,121197,15631,9679,14847,72,234,6846,1047,402281.0
South Carolina,2016,5189,7077,44729,220289,689928,26696,609,41685,85499,177799,4165,377285,3873976,108979,14423,192,34038,23361,25289,5761208.0
South Dakota,2016,3743,136,8747,66429,112581,3610,3270,954,5372,16983,454,106152,19400,2287,22647,123,3548,1473,1003,378912.0
Tennessee,2016,1711,5029,54546,212492,928188,20325,5368,562778,23212,166012,9072,1535318,3304687,13492,109756,206,12339,15480,196002,7176013.0
Texas,2016,5301,8839,93636,1058944,25881685,86163,38930,2243305,290799,367237,55056,3135503,2798833,244114,907469,4022,113064,96544,10780,37440224.0
Utah,2016,17174,1012,1236,335345,619260,7994,4606,12741,27481,6357,72976,390481,75079,249665,38486,260,4934,10916,1245,1877248.0
Virginia,2016,4052,7045,95078,2373778,9369217,1560950,590186,1928776,6773120,296564,215217,49917150,7139642,604852,596992,8554,89323,562796,78510,82211802.0
Vermont,2016,281,74,189,29826,291772,2612,1469,111,2659,2424,132,127144,2166,24495,4320,8,875,1169,815,492541.0
Washington,2016,16378,3035,17399,844937,7891585,108334,6032,115174,76655,158659,14352,2168024,1251916,18399,60692,7234,15586,46114,8546,12829051.0
Wisconsin,2016,3041,2344,46464,154205,2495950,19411,14219,10447,13662,369547,9572,225540,69308,7743,238005,26,86379,28963,3358,3798184.0
West Virginia,2016,813,651,18217,27570,121223,1353,1286,2589,7779,39,2099,277762,31356,23210,35391,670,970,8317,1803,563098.0
Wyoming,2016,3374,478,2696,32324,13121,8777,316,14620,5229,0,3322,40237,15565,398,5076,37,2450,1046,491,149557.0
United States,2016,459296,193682,1610030,26378285,179544882,6592895,1455572,15978223,12357985,16688479,1098052,139633338,46918443,4287841,9086173,109143,1223581,2967023,834186,0.0
