State,State Expenditure (in thousands),Utilities,Health and Social Services Expenditure,Education Related Expenditure,Public Administration Expenditure,Transportation Expenditure,State Total as % of US Total,Utilities (State as % of US),Utilities (% of Total Expenditure),Health and Social Services Expenditure (State as % of US),Health and Social Services Expenditure (% of Total Expenditure),Education Related Expenditure (State as % of US),Education Related Expenditure (% of Total Expenditure),Public Administration Expenditure (State as % of US),Public Administration Expenditure (% of Total Expenditure),Transportation Expenditure (State as % of US),Transportation Expenditure (% of Total Expenditure)
Alaska,16461035,650386,3463461,3222987,3222987,2119873,0.43107465687545693,0.2703267603072287,3.951063830433506,0.3400866307564002,21.040359855865685,0.30413280497995465,19.579491812027616,0.30413280497995465,19.579491812027616,0.9144992490950552,12.87812704365187
Alabama,48238993,3068894,14362206,14742285,14742285,3070165,1.2632624470753246,1.275556627520107,6.361853366217657,1.4102639668150894,29.773022003174898,1.3911357659413177,30.560930241640822,1.3911357659413177,30.560930241640822,1.3244489585451205,6.364488164170426
Arkansas,27659935,980609,8570120,8784757,8784757,2139965,0.7243467369653513,0.4075808121609493,3.545232481565846,0.8415233305580866,30.983876137091425,0.8289617015139346,31.759861330115204,0.8289617015139346,31.759861330115204,0.9231668055537761,7.736695693608825
Arizona,62755470,6384877,16809832,17554634,17554634,3372703,1.643413837423226,2.653813449813091,10.174215889069112,1.650603003314061,26.78624190050684,1.656519271972391,27.973073900968316,1.656519271972391,27.973073900968316,1.454961858998459,5.374357008241672
California,605649479,45603480,179493892,142038480,142038480,25214834,15.860493665600265,18.95465309390961,7.529682032468156,17.62499216004834,29.636596451195825,13.40326887371534,23.452258265708835,13.40326887371534,23.452258265708835,10.877513303417926,4.163271805604905
Colorado,64659578,4336042,13464559,19029373,19029373,4297083,1.693277816374356,1.8022346520621235,6.705954684702705,1.3221215728806432,20.823765660827544,1.7956810212079086,29.430091548076604,1.7956810212079086,29.430091548076604,1.8537333023247746,6.645702203624032
Connecticut,41642052,1457829,6412577,13686484,13686484,2203005,1.0905045325211893,0.6059327701579168,3.5008577387108586,0.6296683307235118,15.399281956614432,1.291506533918154,32.866977832888736,1.291506533918154,32.866977832888736,0.9503618463241205,5.2903372773272554
Delaware,12200640,553703,3332623,4006572,4006572,837401,0.3195052256228709,0.2301413901320038,4.538311104991213,0.3272392926183626,27.315149041361764,0.3780747426887377,32.83903139507436,0.3780747426887377,32.83903139507436,0.36124927563653497,6.863582566160464
Florida,187612475,11919691,45302027,45363601,45363601,14890598,4.9131165377013195,4.954306291791691,6.353357366028033,4.448328919790197,24.146596328415797,4.280674795188896,24.179416107590924,4.280674795188896,24.179416107590924,6.423705896332625,7.936891190204702
Georgia,89012045,6474160,20356320,29659996,29659996,5574860,2.3310099733192797,2.690923080310227,7.2733527243419696,1.9988422804238668,22.869174615637693,2.7988253688811757,33.321328590978894,2.7988253688811757,33.321328590978894,2.404957883708156,6.2630400189098
