State,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting (State as % of US)","Agriculture, Forestry, Fishing and Hunting (as % of Total Funding Received by State)","Mining, Quarrying, and Oil and Gas Extraction (State as % of US)","Mining, Quarrying, and Oil and Gas Extraction (as % of Total Funding Received by State)",Utilities (State as % of US),Utilities (as % of Total Funding Received by State),Construction (State as % of US),Construction (as % of Total Funding Received by State),Manufacturing (State as % of US),Manufacturing (as % of Total Funding Received by State),Wholesale Trade (State as % of US),Wholesale Trade (as % of Total Funding Received by State),Retail Trade (State as % of US),Retail Trade (as % of Total Funding Received by State),Transportation and Warehousing (State as % of US),Transportation and Warehousing (as % of Total Funding Received by State),Information (State as % of US),Information (as % of Total Funding Received by State),Finance and Insurance (State as % of US),Finance and Insurance (as % of Total Funding Received by State),Real Estate and Rental and Leasing (State as % of US),Real Estate and Rental and Leasing (as % of Total Funding Received by State),"Professional, Scientific, and Technical Services (State as % of US)","Professional, Scientific, and Technical Services (as % of Total Funding Received by State)",Administrative and Support and Waste Management and Remediation Services (State as % of US),Administrative and Support and Waste Management and Remediation Services (as % of Total Funding Received by State),Educational Services (State as % of US),Educational Services (as % of Total Funding Received by State),Health Care and Social Assistance (State as % of US),Health Care and Social Assistance (as % of Total Funding Received by State),"Arts, Entertainment, and Recreation (State as % of US)","Arts, Entertainment, and Recreation (as % of Total Funding Received by State)",Accommodation and Food Services (State as % of US),Accommodation and Food Services (as % of Total Funding Received by State),Other Services (except Public Administration) (State as % of US),Other Services (except Public Administration) (as % of Total Funding Received by State),Public Administration (not covered in economic census) (State as % of US),Public Administration (not covered in economic census) (as % of Total Funding Received by State)
Alaska,4917285.0,0.7223267827804222,0.07125883490584743,12.970619834518555,0.5671422339766762,4.893583377041729,2.3034255691911287,3.58763857930915,27.77477815501847,0.1486470532005064,7.000529763883932,0.07245196954215541,0.11990356467034145,0.05936356961908101,0.014601553499542938,1.0357984515488452,3.6074175078320656,0.360906978016465,0.9297203639813434,1.587676203281933e-05,4.067285097365721e-05,0.44613756050651576,0.0954795176606603,0.5653609653115524,19.20641166822749,3.996463266527036,33.89535078808733,2.649183204796355,2.598385084452091,0.3104710590009188,0.729955656424226,0.3919141914191419,0.017387643791238458,0.8728141511250769,0.18617997533191588,0.8660942815904882,0.5459720150448876,2.0375676928691915,0.3360594311698427
Alabama,12503066.0,0.5462802438265179,0.021194801339127538,0.8269421280039441,0.014220511992818402,1.2258368897710255,0.2269283390170059,5.512884964561639,16.785322896000068,1.5259869949330689,28.264043395435966,0.21390288904686214,0.1392218516642238,0.28152222082586464,0.02723332021121859,0.7107242601133074,0.9734892225634897,0.5532612319340271,0.5605265140566321,0.22967323956676447,0.23139924239382564,0.2788953653006654,0.023474242237863898,3.550843085438938,47.44175548621434,0.6974486364393846,2.326405379288568,1.8584299053949038,0.7168801636334641,1.3770957920938953,1.273351672301818,0.1618078474514118,0.002823307499136612,2.4704787654947156,0.2072531649437026,2.9473078394646324,0.7307007737142234,0.5207048936149226,0.033775715492503994
Arkansas,698221.0,2.6190530180437395,1.8196244455552038,0.061392778906929485,0.018905189044729393,0.5890048397507628,1.9525336533848163,0.3266915224749068,17.811982166105,0.13154536164310726,43.62973900813639,0.07696178514968102,0.8969939317207589,0.015957059800115088,0.027641677921460394,0.04099119512632207,1.0054123264696992,0.03314057120355929,0.6012423000740453,7.938381016409666e-06,0.0001432211291267378,0.00921732553123153,0.013892449525293568,0.037331396920016684,8.931556054601623,0.29551026671765956,17.651001616966546,0.21737525803463242,1.5015303177647192,0.17372851228710798,2.876596378510529,0.023835716905023834,0.007447498714590366,0.15721141837304772,0.23617164192999066,0.08471574415974306,0.3760986850868135,0.5522702388115647,0.6414874373586587
Arizona,16404068.0,3.6464721634140664,0.1078330082513679,0.5813710123762261,0.00762006107265588,2.1002496347072603,0.2963411270911581,1.1723956262785789,2.7207580461139274,3.3884753780226706,47.83576854229085,0.18857664935446353,0.09354996577678171,0.609675435057247,0.04495226427981157,1.0919715707960274,1.1400038088113267,2.1364458418885293,1.6497676064254305,0.8805331607211765,0.6761798353920503,1.5126866508420074,0.09704300177248718,1.9595206064857233,19.954647834915097,0.39565377417417275,1.0058968299814413,4.207011575377628,1.2369126975089348,32.12306362122358,22.639463576961518,0.815914924825816,0.010850966967461973,3.273029232362099,0.20928345334827922,1.284059697178314,0.2426410326999376,0.6166339505015931,0.030486340339481645
California,56546762.0,10.648548028340606,0.09135094242885207,15.058439414164058,0.0572570362207477,11.169878621712257,0.45720743479529385,11.800951407922858,7.944683021814759,11.263575477046578,46.12841315299362,2.2739547089172083,0.3272512756787029,9.579610019379974,0.20490121078904572,8.724497068107688,2.642282152247727,7.305830238016088,1.636606531068923,19.9977264476769,4.454930593550166,8.668277006288687,0.1613213502835052,9.87388091412488,29.16929531703336,3.945666182713645,2.9100622949904715,8.216282990904409,0.7007846001863024,10.323798462124243,2.110729169603027,3.7023285661899523,0.014283753329677833,5.284172270918462,0.0980179908444625,13.664494683167632,0.7490596897484598,9.870212178304744,0.14156248239289104
Colorado,12215100.0,2.6027676824730626,0.1033638693092975,0.20743317721583746,0.0036512185737325115,4.461021471695537,0.8452980327627282,2.0312155145887294,6.330328855269298,0.8508937911674893,16.13163216019517,0.17610399855980818,0.11732200309453053,0.060769113746552285,0.006017142716801336,7.560855137058031,10.600355297950898,4.713342348179199,4.887810988039394,0.011732927142253486,0.012099778143445407,2.200660226575165,0.1895932084059893,2.797648240521613,38.259727714058826,4.9908296697170496,17.039835940761844,1.8538062233516264,0.7319547117911438,3.5013496071581858,3.3138983716875012,1.9673634030069675,0.03513683883062766,3.208581131197648,0.2755196437196585,4.225173544686103,1.072205712601616,0.6664480108900441,0.04424851208749826
Connecticut,22712909.0,0.019789774870696497,0.00042266712731513163,0.7581078001385988,0.00717653559920484,0.8721661189795825,0.08887897186573503,0.40779503672235784,0.6834967726943298,8.606503571554246,87.75138402570978,0.06338318502347992,0.02270955252803593,0.10425830263184002,0.005551908828587302,0.8781458479568839,0.6621256660694586,0.20754302452157544,0.1157491539282793,0.033007788266231394,0.01830676995183664,1.973933023301779,0.09145900245538782,1.345869831245947,9.898652788156728,0.17816744454821526,0.3271487593244881,0.2329257581801851,0.049460859461022806,0.28590601170714797,0.1455295752736913,0.04583791712504584,0.0004402782576199288,0.7051156156986422,0.032562979933569935,0.6385618583008202,0.08714867831328871,0.33032640539767405,0.011795054521637894
Delaware,365379.0,0.014223900688313106,0.018884500751274704,0.13766865573069034,0.08101177133880162,0.2193052568455125,1.3892424030937738,0.07240606531876084,7.543947517509217,0.03236772785748834,20.514862649468085,0.011428143092639845,0.2545302275171808,0.01033488329022998,0.034211052085642575,0.18465307172075257,8.654848800834202,0.029919667665909887,1.0372790992366832,1.0208202300431681,35.19441456679229,0.07563908374082781,0.21785597968137196,0.028201780576294955,12.89373499845366,0.054496866693921495,6.220390334419877,0.20514219792013097,2.7078731946827816,0.01094182564317608,0.3462158471067029,0.15722405573890724,0.09387512692300325,0.38859535554186936,1.1155539864086332,0.19578821451084563,1.6610150008621185,0.009124357595904397,0.020252942834700405
Florida,23105454.0,3.059581652404973,0.0642359159010682,0.21580491979405514,0.002008183868622534,6.2151610960423955,0.6226019190101177,4.256039236921398,7.012266454491654,4.836015423148699,48.47001491509321,2.1448289802962837,0.7554147172351602,1.7388234438146137,0.09102179944181145,9.691895112290474,7.183576656836086,0.8314273031414151,0.4558187863350359,0.6473352799831262,0.3529253309629839,7.871405955722628,0.35851275633882806,2.879974620253216,20.821880409707596,3.7334573787649727,6.738859145550656,9.435608074317292,1.9695739369587806,6.762584526684301,3.3837551947691655,20.364411441144114,0.19227927743813214,3.6847915828491784,0.1672765226772865,7.006888880429502,0.9400291377092178,11.907163360525564,0.41794893967458935
Georgia,7943731.0,1.0620512513940452,0.06485617400689928,10.0991121301899,0.2733476246866869,3.6967798073259015,1.0771386896157487,1.6086261461338487,7.708997195398484,1.549814240626578,45.180923170736776,0.5467690611903333,0.5601272248518989,3.665493726312447,0.5581004694141833,2.635436047341677,5.681650096157586,1.0509539834721862,1.6758749761289753,0.029491085475961906,0.046766437584555676,4.0311070483082885,0.5340311750234241,1.2313524398506084,25.894268071262733,1.121935780113487,5.890242255182105,2.248726725048082,1.365303029521015,0.5058496816317972,0.7362031770713283,14.285845251191787,0.3923345339866116,9.22551687186459,1.2181555493256253,2.5503439278554785,0.9951872740907263,1.4348668830208036,0.14649287595463642
