State,"Agriculture, Forestry, Fishing and Hunting (as % of Total Funding Received by State)","Mining, Quarrying, and Oil and Gas Extraction (as % of Total Funding Received by State)",Utilities (as % of Total Funding Received by State),Construction (as % of Total Funding Received by State),Manufacturing (as % of Total Funding Received by State),Wholesale Trade (as % of Total Funding Received by State),Retail Trade (as % of Total Funding Received by State),Transportation and Warehousing (as % of Total Funding Received by State),Information (as % of Total Funding Received by State),Finance and Insurance (as % of Total Funding Received by State),Real Estate and Rental and Leasing (as % of Total Funding Received by State),"Professional, Scientific, and Technical Services (as % of Total Funding Received by State)",Administrative and Support and Waste Management and Remediation Services (as % of Total Funding Received by State),Educational Services (as % of Total Funding Received by State),Health Care and Social Assistance (as % of Total Funding Received by State),"Arts, Entertainment, and Recreation (as % of Total Funding Received by State)",Accommodation and Food Services (as % of Total Funding Received by State),Other Services (except Public Administration) (as % of Total Funding Received by State),Public Administration (not covered in economic census) (as % of Total Funding Received by State)
Alaska,0.04843705854953535,0.028329188736538547,3.332332182009311,20.234142144822478,8.388392413987951,0.9384521012723955,0.037186832654162456,5.000165444498461,1.1115324996627478,0.07445002430761477,0.09812131408747178,17.573209190569155,39.416846322423325,2.4246273044509663,0.12423609184460435,0.021253254802344728,0.3924852563498871,0.29594202824773913,0.4598593467233081
Alabama,0.013659192366873582,0.006179158451680907,0.12686103286601952,17.93280789946355,28.639740427418037,0.22238123713085411,0.020009518642700775,6.681056745642645,0.5221902395142806,0.5229262611581095,0.011716437562813244,40.36789442779409,2.6267243125664823,0.5117404438501498,1.1874682216236483,0.0019769883688895975,0.19581599082335063,0.3576722853360782,0.051179179419739367
Arkansas,1.418945699564011,0.20325822941756355,1.2583716983241358,18.857485492443875,40.14492311757472,1.7549315527912435,0.19248554325843267,2.4470258239580476,1.517729199060947,0.0,0.05670904600750023,10.991595272213583,15.46510564346474,0.489445816437493,4.075734016280984,0.0075205544884498505,0.4004187119526002,0.40306106893502847,0.3152535138266411
Arizona,0.0642721182606976,0.024758913480929106,0.35747673322888723,2.989951690190355,60.77215627359773,0.1564048160867484,0.0349578756432459,1.5849824635375442,2.631052388306206,0.16473034083967622,0.1502636727115729,14.536381765810374,1.2019850041052378,0.9660951361056165,13.722322683036001,0.011815870797806041,0.15687900563850246,0.4274391261106335,0.04607412251223448
California,0.14691880550266675,0.06585866794179975,0.24103198251615487,5.494570364942195,45.46423705075575,0.3418457418851795,0.11240301499682169,2.5693484164403646,1.213498341390361,5.910520370176507,0.12006342842208993,28.52559752592352,5.43265048563888,0.7972996752571548,2.5628699711545067,0.007947202328659586,0.11156917211586305,0.5710978287510518,0.3106719538604729
Colorado,0.13867433068177093,0.011775870611732306,0.2707173229168111,6.098076674691163,15.746737965260907,0.1810255059337253,0.0179420120009895,13.800919010469306,4.7551348633634145,0.02059637168186797,0.04257009151429487,38.6748870939377,14.457175235900516,0.9831346911492884,2.883637979636409,0.013645780352557342,0.161697024271246,1.6964642104748513,0.04518796515144992
Connecticut,0.0034015964337193805,0.0003518892862468325,0.07808276641281275,0.9155059574123058,80.0343004081769,0.08616888896969309,0.011436401803022056,4.280872456701856,0.06097948089585734,0.038070022155829185,0.15675201496937022,13.35123667824138,0.46215526029763676,0.05497536994927076,0.2214043402904289,0.005402966749248239,0.059366655000559355,0.1606154660912886,0.01892138016256405
Delaware,0.12668747719625412,0.05523574005756678,0.6192483885352901,4.671474034134674,22.050715530871205,0.39399805408035027,0.04712774151700652,10.082296185186687,0.4388454210078242,37.393329144200756,0.15278509749868244,8.30892487939352,10.279168524749666,2.45672355778976,0.69703449953379,0.059289739327846924,0.8452588478534074,1.2620606478290834,0.05979648923663194
Florida,0.09657302727874853,0.0024233987933932532,0.5318306699848889,10.073260984537955,42.87902118103228,0.625933469508053,0.05058113278674179,4.51842705028172,0.7289571863286357,0.5556256363982792,0.430118164105659,24.777051701223026,7.847702849161864,1.5994256427787252,2.9446636787837583,0.07038393017333447,0.31114333203870764,1.3450916954981855,0.6117852693060445
Georgia,0.03204426569631584,0.3707243992305743,0.6720817943254702,8.009158907160344,54.932238236953765,0.4457937687578805,0.2370064539674283,4.963227817369688,1.4013487254809642,0.34819753276311693,0.773301303197392,20.12147754040126,4.517757014439297,0.5799961627622622,1.1904621328118243,0.13247654536372966,0.7984018036026636,0.2994801562226078,0.17482543949341195
