State,Year,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census),Total Funding Received
Alaska,2020,8520,40406,99600,1556319,366765,27762,967,185398,59886,86,10593,1208638,1613136,159612,32632,687,10948,36063,16264,5434282.0
Alabama,2020,2323,575,24123,1761312,3475478,9580,1893,74815,41465,19763,32921,5891315,310338,105204,307376,348,15148,102419,4306,12180702.0
Arkansas,2020,12826,95,3638,116397,316915,1066,220,9608,2498,4,414,80799,156894,2369,22962,31,1613,2619,2028,732996.0
Arizona,2020,30233,3872,32132,611755,8186219,39446,4222,236965,233222,3637162,18910,2440171,266076,235192,7505325,1028,43855,48429,1408,23575622.0
California,2020,120684,45745,195621,6078632,21782637,287868,156451,1685017,1080202,3436628,73511,19400196,1320188,357895,1224832,40108,111789,442964,18461,57859429.0
Colorado,2020,32971,973,96474,622345,2117555,14915,747,942876,684756,2147,4327,6194044,2217639,114022,778449,4030,37271,199403,9608,14074552.0
Connecticut,2020,188,87,2801,71185,16176330,11905,1525,566150,31165,4850,13417,2677887,73651,16574,52215,531,6874,17277,2988,19727600.0
Delaware,2020,213,696,1390,23411,671753,612,14,78526,3077,161211,817,46600,23383,10235,2320,100,3212,7794,44,1035408.0
Florida,2020,26921,4758,100311,1674501,11992314,495923,16388,1702978,105002,84165,67330,4802636,1506876,439868,450956,28584,85606,212324,102418,23899859.0
Georgia,2020,6363,19456,62133,396935,4173862,64754,50568,599048,164537,24046,14086,2323081,499184,116157,66854,11556,109600,139154,4196,8845570.0
