id,code,name,amount,State
,561210,Facilities Support Services,999047124.99,AK
,236220,Commercial and Institutional Building Construction,869622915.02,AK
,561612,Security Guards and Patrol Services,263943025.57,AK
,541330,Engineering Services,238685236.08,AK
,324110,Petroleum Refineries,185435375.79,AK
,237990,Other Heavy and Civil Engineering Construction,177640868.18,AK
,541519,Other Computer Related Services,140309570.28,AK
,562910,Remediation Services,131416862.27,AK
,221112,Fossil Fuel Electric Power Generation,114694560.47,AK
,236210,Industrial Building Construction,110899162.36,AK
,488190,Other Support Activities for Air Transportation,110542037.98,AK
,541611,Administrative Management and General Management Consulting Services,107131568.72,AK
,611519,Other Technical and Trade Schools,100796025.29,AK
,541512,Computer Systems Design Services,98847021.69,AK
,237110,Water and Sewer Line and Related Structures Construction,90558448.43,AK
,541513,Computer Facilities Management Services,77806989.35,AK
,561720,Janitorial Services,67419487.99,AK
,336411,Aircraft Manufacturing,62581861.16,AK
,541511,Custom Computer Programming Services,56208049.8,AK
,493110,General Warehousing and Storage,55815582.97,AK
,238220,"Plumbing, Heating, and Air-Conditioning Contractors",48759184.03,AK
,493190,Other Warehousing and Storage,45707204.97,AK
,517911,Telecommunications Resellers,44542849.65,AK
,541614,"Process, Physical Distribution, and Logistics Consulting Services",43568701.2,AK
,541990,"All Other Professional, Scientific, and Technical Services",43500295.03,AK
,237310,"Highway, Street, and Bridge Construction",39114732.55,AK
,561110,Office Administrative Services,38538330.46,AK
,211111,Crude Petroleum and Natural Gas Extraction,37344980.8,AK
,237120,Oil and Gas Pipeline and Related Structures Construction,36366698.36,AK
,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",28184175.11,AK
,238910,Site Preparation Contractors,25922331.73,AK
,561320,Temporary Help Services,25194767.94,AK
,541690,Other Scientific and Technical Consulting Services,23257382.22,AK
,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,21386110.18,AK
,481211,Nonscheduled Chartered Passenger Air Transportation,18566539.99,AK
,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",17161599.73,AK
,561990,All Other Support Services,16742988.09,AK
,213112,Support Activities for Oil and Gas Operations,16602351.15,AK
,334111,Electronic Computer Manufacturing,16154776.5,AK
,221210,Natural Gas Distribution,14962744.53,AK
,561621,Security Systems Services (except Locksmiths),14810913.36,AK
,611699,All Other Miscellaneous Schools and Instruction,14504953.23,AK
,541370,Surveying and Mapping (except Geophysical) Services,13682566.94,AK
,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",13470175.13,AK
,337127,Institutional Furniture Manufacturing,13276029.47,AK
,238210,Electrical Contractors and Other Wiring Installation Contractors,13076931.53,AK
,518210,"Data Processing, Hosting, and Related Services",12366111.71,AK
,811219,Other Electronic and Precision Equipment Repair and Maintenance,12342927.81,AK
,238990,All Other Specialty Trade Contractors,12341737.06,AK
,561730,Landscaping Services,11901513.8,AK
,611420,Computer Training,11623886.97,AK
,488310,Port and Harbor Operations,11591975.49,AK
,237130,Power and Communication Line and Related Structures Construction,10346051.29,AK
,541620,Environmental Consulting Services,9501791.47,AK
,611430,Professional and Management Development Training,8534136.34,AK
,722310,Food Service Contractors,8061221.47,AK
,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",7843627.82,AK
,336611,Ship Building and Repairing,6726673.14,AK
,561330,Professional Employer Organizations,6665261.46,AK
,315990,Apparel Accessories and Other Apparel Manufacturing,6603759.5,AK
,334516,Analytical Laboratory Instrument Manufacturing,6269687.63,AK
,517110,Wired Telecommunications Carriers,6144153.67,AK
,623110,Nursing Care Facilities (Skilled Nursing Facilities),5701125.29,AK
,337214,Office Furniture (except Wood) Manufacturing,5465687.71,AK
,238160,Roofing Contractors,5355098.92,AK
